Datetime,ticker,p_burst,split,p_accum
2025-10-28 16:30:00+00:00,AHMA,3.233003396155504e-207,train,1.0
2025-10-28 17:30:00+00:00,AHMA,3.6536617663352516e-05,train,0.07853230833500874
2025-10-28 18:30:00+00:00,AHMA,5.338583456316343e-05,train,0.3198873161878823
2025-10-28 19:30:00+00:00,AHMA,0.0002640666845074123,train,0.06811871476008437
2025-10-29 14:30:00+00:00,AHMA,0.4926799718332514,train,0.5073200281667488
2025-10-29 15:30:00+00:00,AHMA,0.00689340791632766,train,0.9931065920833996
2025-10-29 16:30:00+00:00,AHMA,0.00039095362832528995,train,0.9996090463716915
2025-10-29 17:30:00+00:00,AHMA,0.008763951230219757,train,0.9912360487697681
2025-10-29 18:30:00+00:00,AHMA,0.0004065893216578476,train,0.9995934106783185
2025-10-29 19:30:00+00:00,AHMA,0.00024295069386147102,train,0.9997570492281613
2025-10-30 14:30:00+00:00,AHMA,0.0019916232188759535,train,0.9980083767811343
2025-10-30 15:30:00+00:00,AHMA,0.00017633435164817704,train,0.9674855925612554
2025-10-30 16:30:00+00:00,AHMA,0.0001676523213249604,train,0.6347470743047059
2025-10-30 17:30:00+00:00,AHMA,0.0003356971896424567,train,0.9996622478283121
2025-10-30 18:30:00+00:00,AHMA,0.00012098978483288128,train,0.8875081535126531
2025-10-30 19:30:00+00:00,AHMA,9.656336137887218e-05,train,0.3208644102406766
2025-10-31 14:30:00+00:00,AHMA,0.0003018877068846583,train,0.984439929867358
2025-10-31 15:30:00+00:00,AHMA,0.00031596735504432993,train,0.9996840276818839
2025-10-31 16:30:00+00:00,AHMA,2.0158840782932814e-05,train,0.1880161173446616
2025-10-31 17:30:00+00:00,AHMA,9.68363345503396e-06,train,0.038958388760796756
2025-10-31 18:30:00+00:00,AHMA,5.0710594857836696e-05,train,0.11867894939853682
2025-10-31 19:30:00+00:00,AHMA,0.00048690060722015503,train,0.9921563666305693
2025-11-03 14:30:00+00:00,AHMA,0.0002312961044161696,train,0.9994547613563888
