pair,entry_time,exit_time,entry_price,exit_price,peak_price,structure_high,pnl,pnl_pct,bars_to_exit,peak_capture,exit_reason
IRAN_HPAHLFzi,2026-06-30 05:49:00+00:00,2026-06-30 05:50:00+00:00,1.258e-05,1.276e-05,1.276e-05,1.227e-05,1.7e-07,1.3887,1,100.0,case1_divergence_fulfilled
IRAN_HPAHLFzi,2026-06-30 05:51:00+00:00,2026-06-30 05:52:00+00:00,1.264e-05,1.261e-05,1.284e-05,1.227e-05,-3e-08,-0.2514,1,-16.02,case1_divergence_fulfilled
IRAN_HPAHLFzi,2026-06-30 05:53:00+00:00,2026-06-30 05:54:00+00:00,1.268e-05,1.28e-05,1.288e-05,1.227e-05,1.2e-07,0.9428,1,58.55,case1_divergence_fulfilled
IRAN_HPAHLFzi,2026-06-30 05:55:00+00:00,2026-06-30 05:56:00+00:00,1.282e-05,1.279e-05,1.292e-05,1.227e-05,-3e-08,-0.2717,1,-34.51,case1_divergence_fulfilled
IRAN_HPAHLFzi,2026-06-30 05:57:00+00:00,2026-06-30 05:58:00+00:00,1.298e-05,1.28e-05,1.308e-05,1.227e-05,-1.8e-07,-1.4156,1,-100.0,case1_divergence_fulfilled
IRAN_HPAHLFzi,2026-06-30 05:59:00+00:00,2026-06-30 06:00:00+00:00,1.282e-05,1.263e-05,1.286e-05,1.227e-05,-1.9e-07,-1.5011,1,0.0,case1_divergence_fulfilled
IRAN_J3UZo1f9,2026-06-30 00:34:00+00:00,2026-06-30 00:35:00+00:00,3.14e-06,3.11e-06,3.18e-06,3.03e-06,-3e-08,-1.0176,1,-77.49,case1_divergence_fulfilled
IRAN_J3UZo1f9,2026-06-30 00:36:00+00:00,2026-06-30 00:37:00+00:00,3.14e-06,3.17e-06,3.23e-06,3.03e-06,3e-08,0.8044,1,28.54,case1_divergence_fulfilled
IRAN_J3UZo1f9,2026-06-30 00:38:00+00:00,2026-06-30 00:39:00+00:00,3.34e-06,3.41e-06,3.45e-06,3.03e-06,7e-08,2.1511,1,63.09,case1_divergence_fulfilled
IRAN_J3UZo1f9,2026-06-30 00:40:00+00:00,2026-06-30 00:41:00+00:00,3.41e-06,3.42e-06,3.49e-06,3.03e-06,0.0,0.0857,1,3.89,case1_divergence_fulfilled
IRAN_J3UZo1f9,2026-06-30 00:42:00+00:00,2026-06-30 00:43:00+00:00,3.4e-06,3.35e-06,3.42e-06,3.03e-06,-4e-08,-1.3013,1,-100.0,case1_divergence_fulfilled
IRAN_J3UZo1f9,2026-06-30 00:44:00+00:00,2026-06-30 00:45:00+00:00,3.31e-06,3.32e-06,3.43e-06,3.03e-06,1e-08,0.287,1,8.12,case1_divergence_fulfilled
IRAN_J3UZo1f9,2026-06-30 00:46:00+00:00,2026-06-30 00:47:00+00:00,3.43e-06,3.49e-06,3.53e-06,3.03e-06,6e-08,1.892,1,67.14,case1_divergence_fulfilled
IRAN_J3UZo1f9,2026-06-30 02:06:00+00:00,2026-06-30 04:47:00+00:00,5.11e-06,2.91e-06,5.34e-06,5.31e-06,-2.2e-06,-43.0824,161,-100.0,end_of_data
KALSHI_7gNxF7Ps,2026-06-30 06:41:00+00:00,2026-06-30 06:42:00+00:00,1.428e-05,1.429e-05,1.442e-05,1.415e-05,1e-08,0.0391,1,4.14,case1_divergence_fulfilled
KALSHI_7gNxF7Ps,2026-06-30 06:43:00+00:00,2026-06-30 06:44:00+00:00,1.447e-05,1.453e-05,1.454e-05,1.415e-05,6e-08,0.3852,1,0.0,case1_divergence_fulfilled
