symbol,n_bars,n_trades,win_rate,avg_ret
ANKR/USDT,624,5,40.0,1.485288
AXS/USDT,954,8,25.0,0.90555
KNC/USDT,751,5,20.0,0.805411
SUSHI/USDT,1603,13,46.15,0.673862
APE/USDT,3594,72,52.78,0.656988
WIF/USDT,2416,26,42.31,0.633613
DASH/USDT,3708,71,46.48,0.42648
COMP/USDT,2219,23,39.13,0.42554
CTSI/USDT,1173,5,20.0,0.289615
TLM/USDT,477,3,33.33,0.259605
IOTA/USDT,3711,49,28.57,0.186453
ARB/USDT,3558,56,41.07,0.172241
AAVE/USDT,3417,34,35.29,0.163647
PENGU/USDT,3742,103,38.83,0.134685
WLD/USDT,3554,55,34.55,0.121223
JTO/USDT,1995,17,29.41,0.080446
CAKE/USDT,3513,65,47.69,0.064586
XRP/USDT,3741,111,38.74,0.056205
EIGEN/USDT,767,5,0.0,0.0
REQ/USDT,753,4,0.0,0.0
STORJ/USDT,1067,6,0.0,0.0
CELO/USDT,467,1,0.0,0.0
OCEAN/USDT,459,2,0.0,0.0
BRETT/USDT,304,1,0.0,0.0
BLUR/USDT,228,1,0.0,0.0
BAND/USDT,532,3,0.0,0.0
NEIRO/USDT,282,2,0.0,0.0
LSK/USDT,251,1,0.0,0.0
ALICE/USDT,380,2,0.0,0.0
RLC/USDT,427,4,0.0,0.0
BTC/USDT,3741,129,39.53,-0.011995
OP/USDT,2774,75,26.67,-0.013128
EGLD/USDT,1121,5,20.0,-0.023524
CRV/USDT,3667,93,38.71,-0.057054
APT/USDT,2798,33,33.33,-0.075261
ETH/USDT,3741,118,32.2,-0.077508
LINK/USDT,3741,131,34.35,-0.08161
RENDER/USDT,3738,104,43.27,-0.092842
HBAR/USDT,3741,95,29.47,-0.10773
HYPE/USDT,3742,165,41.21,-0.123115
LTC/USDT,3741,114,33.33,-0.134808
BNB/USDT,3741,126,32.54,-0.140274
1INCH/USDT,2159,18,44.44,-0.156628
SUI/USDT,3741,146,34.25,-0.170371
ENJ/USDT,1196,9,22.22,-0.173794
AVAX/USDT,3741,112,35.71,-0.188113
SOL/USDT,3741,102,34.31,-0.203468
ONE/USDT,3270,40,32.5,-0.210308
ADA/USDT,3741,138,29.71,-0.214677
XLM/USDT,3741,160,30.63,-0.21741
TIA/USDT,2735,31,25.81,-0.218128
DOGE/USDT,3741,108,28.7,-0.251248
ICP/USDT,3741,78,39.74,-0.260084
FLOKI/USDT,3712,90,35.56,-0.263657
DOT/USDT,3741,73,36.99,-0.26501
NEAR/USDT,3741,200,34.0,-0.315194
SHIB/USDT,3736,83,30.12,-0.334467
FET/USDT,3741,156,30.13,-0.343559
INJ/USDT,3741,112,34.82,-0.350466
GRT/USDT,3698,124,21.77,-0.35428
BAT/USDT,3349,35,34.29,-0.355579
ETC/USDT,3380,44,29.55,-0.436895
BCH/USDT,3741,97,29.9,-0.448346
GALA/USDT,2706,23,21.74,-0.49024
PEPE/USDT,3741,93,24.73,-0.499733
BONK/USDT,3562,68,25.0,-0.519492
FARTCOIN/USDT,838,7,14.29,-0.541014
UNI/USDT,3528,63,26.98,-0.569197
ONDO/USDT,3703,71,29.58,-0.586833
ZEC/USDT,3741,180,35.0,-0.588117
AXL/USDT,485,4,0.0,-0.595238
NEO/USDT,2432,29,17.24,-0.619831
ATOM/USDT,3741,102,26.47,-0.628518
TRX/USDT,3738,56,17.86,-0.636155
ENA/USDT,2601,37,37.84,-0.661434
LDO/USDT,1313,14,14.29,-0.751151
ALGO/USDT,3741,86,20.93,-0.756479
XDC/USDT,3711,52,36.54,-0.789567
VTHO/USDT,3501,40,17.5,-0.813605
MANA/USDT,2736,24,16.67,-0.839308
ZEN/USDT,2830,31,35.48,-0.868439
VET/USDT,3561,41,31.71,-0.871178
ZIL/USDT,2927,30,20.0,-0.949953
RVN/USDT,3606,63,25.4,-0.984361
AUDIO/USDT,2798,21,33.33,-1.025245
ILV/USDT,524,3,0.0,-1.058201
ONT/USDT,3159,27,22.22,-1.082151
THETA/USDT,3412,51,25.49,-1.107197
QTUM/USDT,1941,14,14.29,-1.114366
VIRTUAL/USDT,2531,18,27.78,-1.262335
ZRX/USDT,2217,25,12.0,-1.265389
SNX/USDT,951,5,0.0,-1.285141
TRUMP/USDT,3640,51,25.49,-1.310678
KSM/USDT,2190,16,0.0,-1.318645
CELR/USDT,1271,11,18.18,-1.320139
YFI/USDT,2026,16,25.0,-1.422597
KAVA/USDT,1789,17,17.65,-1.502107
FIL/USDT,3660,64,17.19,-1.50998
METIS/USDT,413,4,0.0,-1.545454
QNT/USDT,2909,36,33.33,-1.571127
CHZ/USDT,3168,38,31.58,-1.609181
JUP/USDT,1364,12,0.0,-1.912558
DGB/USDT,3441,35,14.29,-2.384187
COTI/USDT,1363,10,10.0,-2.408972
ASTR/USDT,863,4,0.0,-2.542194
SEI/USDT,2450,29,20.69,-2.550202
IMX/USDT,1066,8,0.0,-2.858507
ENS/USDT,1074,8,0.0,-3.086956
GIGA/USDT,609,4,0.0,-4.367178
ME/USDT,818,4,0.0,-7.349541
GTC/USDT,244,1,0.0,-8.045977
SAND/USDT,1050,4,0.0,-9.594673
FLOW/USDT,835,5,20.0,-18.249682
