symbol,date,entry,level_price,level_type,target_price,target_type,psi_in,atr_in,bars_held,exit_type,ret_pct,hold_bin
1INCH/USDT,2026-06-03 16:55:00+00:00,0.08,0.08,Round_5bp,0.08,Round_5bp,0.989139,0.00061429,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-05 17:30:00+00:00,0.0697,0.0697,Round_5bp,0.0697,Round_5bp,1.0,0.00097857,11,psi_bearish_at_level,-4.878049,11-20
1INCH/USDT,2026-06-06 04:20:00+00:00,0.0669,0.0669,SessionLow,0.0672345,Round_5bp,1.0,0.00015,2,psi_bearish_at_level,-1.046338,1-2
1INCH/USDT,2026-06-06 04:45:00+00:00,0.0671,0.0671,Round_5bp,0.0674355,Round_5bp,0.999862,0.00026429,3,psi_bearish_at_level,-2.533532,3-5
1INCH/USDT,2026-06-06 05:05:00+00:00,0.0654,0.0654,SessionLow,0.065727,Round_5bp,0.825106,0.00038571,2,psi_bearish_at_level,0.0,1-2
1INCH/USDT,2026-06-06 06:35:00+00:00,0.0675,0.0675,Round_5bp,0.0678375,Round_5bp,0.950299,8.571e-05,60,time_stop,1.037037,41-60
1INCH/USDT,2026-06-06 09:30:00+00:00,0.0682,0.0682,Round_5bp,0.0682,Round_5bp,0.771811,5e-05,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-06 09:45:00+00:00,0.0682,0.0682,Round_5bp,0.0682,Round_5bp,0.934298,2.857e-05,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-06 21:35:00+00:00,0.0678,0.0678,Round_5bp,0.0678,Round_5bp,0.841311,8.571e-05,60,time_stop,1.769912,41-60
1INCH/USDT,2026-06-07 01:05:00+00:00,0.0686,0.0686,Round_5bp,0.0686,Round_5bp,0.748538,5.714e-05,60,time_stop,1.166181,41-60
1INCH/USDT,2026-06-07 01:35:00+00:00,0.069,0.069,PDH,0.069,Round_5bp,0.755319,8.571e-05,60,time_stop,0.57971,41-60
1INCH/USDT,2026-06-07 05:00:00+00:00,0.0694,0.0694,Round_5bp,0.0694,Round_5bp,0.954729,2.857e-05,36,psi_bearish_at_level,1.008646,21-40
1INCH/USDT,2026-06-07 07:55:00+00:00,0.0726,0.0726,Round_5bp,0.072963,Round_5bp,1.0,0.00035714,1,psi_bearish_at_level,-3.443526,1-2
1INCH/USDT,2026-06-07 22:10:00+00:00,0.0706,0.0706,Round_10bp,0.070953,Round_5bp,0.999988,0.00012143,3,psi_bearish_at_level,1.133144,3-5
1INCH/USDT,2026-06-07 22:15:00+00:00,0.0714,0.0714,Round_5bp,0.0714,Round_5bp,0.998266,0.00017857,2,psi_bearish_at_level,0.0,1-2
1INCH/USDT,2026-06-08 15:15:00+00:00,0.0718,0.0718,Round_5bp,,,1.0,2.857e-05,60,time_stop,1.114206,41-60
1INCH/USDT,2026-06-08 17:25:00+00:00,0.0726,0.0726,Round_5bp,0.072963,Round_5bp,1.0,0.00022143,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-08 17:30:00+00:00,0.0726,0.0726,Round_5bp,0.072963,Round_5bp,0.924821,0.00022143,60,time_stop,0.0,41-60
1INCH/USDT,2026-06-09 00:35:00+00:00,0.0714,0.0714,PDL,0.0714,Round_5bp,1.0,8.571e-05,24,psi_bearish_at_level,-0.70028,21-40
