symbol,n_bars,n_trades,win_rate,avg_ret
VIRTUAL/USDT,4365,57,29.82,5.540613
SUSHI/USDT,2451,37,35.14,1.23895
KNC/USDT,952,10,30.0,0.495124
QTUM/USDT,2235,25,20.0,0.474825
AXS/USDT,1239,10,10.0,0.392399
CAKE/USDT,8655,188,49.47,0.291304
FARTCOIN/USDT,890,9,11.11,0.267142
COMP/USDT,3244,130,34.62,0.2147
OP/USDT,9158,268,36.94,0.190018
ANKR/USDT,798,8,12.5,0.181769
ASTR/USDT,1075,10,20.0,0.155644
QNT/USDT,5145,58,32.76,0.152183
STORJ/USDT,1116,12,16.67,0.145007
DASH/USDT,14181,425,39.06,0.111924
APE/USDT,12550,319,38.24,0.101976
BONK/USDT,11830,335,35.52,0.10163
INJ/USDT,16805,535,40.56,0.093617
WIF/USDT,3549,34,14.71,0.093462
VTHO/USDT,7593,94,21.28,0.085897
KSM/USDT,2502,27,14.81,0.080075
FLOKI/USDT,12979,302,36.09,0.078096
EGLD/USDT,1238,8,12.5,0.070622
YFI/USDT,2803,28,21.43,0.052192
CRV/USDT,12367,351,40.46,0.036177
PENGU/USDT,17088,543,41.07,0.033911
CELR/USDT,1939,16,18.75,0.013802
ETH/USDT,18704,1832,43.94,0.007963
BAT/USDT,7617,192,42.19,0.006862
BCH/USDT,15247,493,34.08,0.005522
EIGEN/USDT,709,10,10.0,0.004843
LDO/USDT,2437,45,20.0,0.004044
SOL/USDT,18704,1567,42.76,0.003879
WLD/USDT,11766,246,31.3,0.003874
PEPE/USDT,15785,420,33.33,4.3e-05
BAND/USDT,462,3,0.0,0.0
TLM/USDT,464,4,0.0,0.0
ENS/USDT,1123,12,0.0,0.0
ILV/USDT,564,3,0.0,0.0
CELO/USDT,479,2,0.0,0.0
SNX/USDT,1043,6,0.0,0.0
METIS/USDT,528,4,0.0,0.0
RLC/USDT,474,6,0.0,0.0
AXL/USDT,519,4,0.0,0.0
GRT/USDT,14485,537,28.68,-0.00361
1INCH/USDT,3524,49,38.78,-0.003615
RENDER/USDT,15487,539,40.82,-0.005134
SUI/USDT,18590,973,41.21,-0.00633
LTC/USDT,18647,818,40.1,-0.007296
NEAR/USDT,18624,1861,37.08,-0.009599
ARB/USDT,9270,216,27.31,-0.010477
ADA/USDT,18632,934,38.54,-0.013651
ONE/USDT,7352,88,21.59,-0.014182
BNB/USDT,18704,1022,38.94,-0.014422
FET/USDT,18136,896,33.48,-0.018639
DOGE/USDT,18705,1031,39.48,-0.020548
XRP/USDT,18704,1498,39.85,-0.021675
BTC/USDT,18704,1504,42.29,-0.024005
ALGO/USDT,14879,452,33.19,-0.024277
HBAR/USDT,18401,740,39.59,-0.02451
ICP/USDT,14337,392,34.95,-0.026081
XLM/USDT,18684,1008,39.78,-0.030392
LINK/USDT,18377,829,34.62,-0.032216
HYPE/USDT,18679,1142,39.67,-0.035319
ZEC/USDT,18705,1649,41.3,-0.040305
AVAX/USDT,18641,836,37.2,-0.044443
ZIL/USDT,4842,132,25.0,-0.064337
ETC/USDT,8759,208,29.33,-0.07784
AAVE/USDT,7095,118,31.36,-0.088253
XDC/USDT,10484,170,22.35,-0.089674
ONT/USDT,5670,81,24.69,-0.101438
COTI/USDT,1560,15,20.0,-0.112874
SHIB/USDT,13821,346,30.64,-0.115289
ATOM/USDT,15877,618,33.33,-0.120719
TIA/USDT,4985,75,24.0,-0.139368
IOTA/USDT,12184,235,26.38,-0.147766
GALA/USDT,4048,44,15.91,-0.15144
TRX/USDT,15181,289,26.3,-0.162709
ENA/USDT,5928,95,26.32,-0.170454
ONDO/USDT,13420,287,29.97,-0.172025
REQ/USDT,825,4,0.0,-0.172117
DOT/USDT,14679,427,25.53,-0.18226
UNI/USDT,10986,528,31.63,-0.212192
CTSI/USDT,1441,10,0.0,-0.215185
RVN/USDT,9446,228,20.61,-0.217154
CHZ/USDT,7417,100,26.0,-0.244423
FIL/USDT,12378,385,31.95,-0.244478
THETA/USDT,8611,127,18.11,-0.2479
ZRX/USDT,3239,105,25.71,-0.258886
NEO/USDT,4159,112,11.61,-0.259231
DGB/USDT,6744,80,17.5,-0.360869
MANA/USDT,4814,53,13.21,-0.364546
SEI/USDT,4744,62,12.9,-0.384386
ZEN/USDT,5190,66,21.21,-0.391175
TRUMP/USDT,10610,170,28.24,-0.436818
VET/USDT,9551,184,23.37,-0.540596
FLOW/USDT,965,9,33.33,-0.638005
JTO/USDT,3732,40,15.0,-0.779385
IMX/USDT,1207,11,0.0,-0.79989
OCEAN/USDT,412,4,0.0,-1.059655
APT/USDT,5339,106,12.26,-1.142275
ME/USDT,1067,12,8.33,-1.263323
GIGA/USDT,641,5,0.0,-1.280215
KAVA/USDT,2343,26,7.69,-1.315127
SAND/USDT,1137,5,20.0,-1.453705
JUP/USDT,1619,16,0.0,-1.831405
ENJ/USDT,1650,22,0.0,-2.741347
AUDIO/USDT,4238,43,9.3,-2.798199
