symbol,swing_bars,date,entry,entry_level,entry_lvl_type,exit_lvl_type,psi_in,bars_held,exit_type,ret_pct,hold_bin
1INCH/USDT,5,2026-06-05 17:30:00+00:00,0.0697,0.0688,SwingHigh,SwingHigh,0.967071,11,bearish_break,-4.878049,11-20
1INCH/USDT,5,2026-06-05 19:20:00+00:00,0.0669,0.0663,SwingLow,,0.854704,60,time_stop,3.139013,41-60
1INCH/USDT,5,2026-06-05 20:50:00+00:00,0.0686,0.0682,SwingLow,,0.824914,60,time_stop,0.58309,41-60
AAVE/USDT,5,2026-06-02 03:00:00+00:00,79.43,77.73,SwingHigh,,0.866936,60,time_stop,-2.240967,41-60
AAVE/USDT,5,2026-06-02 22:10:00+00:00,76.48,74.56,SwingLow,,0.911162,60,time_stop,-1.987448,41-60
AAVE/USDT,5,2026-06-03 06:45:00+00:00,76.17,74.72,SwingLow,SwingHigh,0.900276,43,bearish_break,0.065643,41-60
AAVE/USDT,5,2026-06-04 04:10:00+00:00,72.65,72.13,SwingLow,,0.762666,60,time_stop,-1.582932,41-60
AAVE/USDT,5,2026-06-12 03:00:00+00:00,64.61,64.07,SwingLow,,0.846717,60,time_stop,0.866739,41-60
AAVE/USDT,5,2026-06-13 21:40:00+00:00,66.83,66.74,SwingLow,,0.96767,60,time_stop,0.164597,41-60
ADA/USDT,5,2026-06-02 04:30:00+00:00,0.22747,0.22707,SwingLow,SwingLow,0.724166,20,bearish_break,-1.701323,11-20
ADA/USDT,5,2026-06-02 08:25:00+00:00,0.22438,0.2237,SwingLow,SwingLow,0.719818,2,bearish_break,-0.093591,1-2
ADA/USDT,5,2026-06-02 10:10:00+00:00,0.2241,0.2237,SwingLow,SwingLow,0.735643,10,bearish_break,0.035698,6-10
ADA/USDT,5,2026-06-02 10:55:00+00:00,0.22457,0.2237,SwingLow,SwingLow,0.722629,1,bearish_break,-0.173665,1-2
ADA/USDT,5,2026-06-02 14:55:00+00:00,0.22041,0.22013,SwingLow,SwingLow,0.74133,55,bearish_break,-3.380064,41-60
ADA/USDT,5,2026-06-02 19:45:00+00:00,0.216,0.2145,SwingLow,SwingLow,0.73786,7,bearish_break,-0.694444,6-10
ADA/USDT,5,2026-06-02 22:25:00+00:00,0.216,0.21569,SwingLow,SwingLow,0.691163,4,bearish_break,-0.856481,3-5
ADA/USDT,5,2026-06-03 02:25:00+00:00,0.21247,0.2122,SwingLow,SwingLow,0.713107,1,bearish_break,-0.127077,1-2
ADA/USDT,5,2026-06-03 04:25:00+00:00,0.21102,0.21023,SwingLow,SwingLow,0.790546,58,bearish_break,2.265188,41-60
ADA/USDT,5,2026-06-03 17:30:00+00:00,0.21052,0.2092,SwingLow,SwingLow,0.728372,21,bearish_break,-1.491545,21-40
ADA/USDT,5,2026-06-03 18:00:00+00:00,0.20973,0.2092,SwingLow,SwingLow,0.702065,15,bearish_break,-1.120488,11-20
ADA/USDT,5,2026-06-03 21:35:00+00:00,0.20358,0.2028,SwingLow,SwingHigh,0.701252,12,bearish_break,-0.176835,11-20
ADA/USDT,5,2026-06-04 03:30:00+00:00,0.19906,0.19804,SwingHigh,SwingLow,0.764465,12,bearish_break,0.442078,11-20
ADA/USDT,5,2026-06-04 11:20:00+00:00,0.18936,0.18789,SwingLow,SwingLow,0.731504,25,bearish_break,-0.913604,21-40
ADA/USDT,5,2026-06-04 11:45:00+00:00,0.18947,0.18877,SwingLow,SwingLow,0.734663,20,bearish_break,-0.97113,11-20
ADA/USDT,5,2026-06-04 12:15:00+00:00,0.18926,0.18877,SwingLow,SwingLow,0.780422,14,bearish_break,-0.861249,11-20
ADA/USDT,5,2026-06-04 12:30:00+00:00,0.19223,0.18924,SwingHigh,SwingLow,0.709144,11,bearish_break,-2.392967,11-20
ADA/USDT,5,2026-06-04 17:00:00+00:00,0.18717,0.18695,SwingLow,SwingLow,0.708763,14,bearish_break,-0.229738,11-20
ADA/USDT,5,2026-06-04 17:30:00+00:00,0.18863,0.18695,SwingLow,SwingLow,0.71123,8,bearish_break,-1.001962,6-10
ADA/USDT,5,2026-06-04 18:20:00+00:00,0.18807,0.18695,SwingLow,SwingHigh,0.716136,9,bearish_break,-0.552986,6-10
ADA/USDT,5,2026-06-05 11:20:00+00:00,0.16198,0.16169,SwingHigh,SwingLow,0.691588,5,bearish_break,0.006174,3-5
ADA/USDT,5,2026-06-05 11:25:00+00:00,0.16266,0.16199,SwingLow,SwingLow,0.737501,4,bearish_break,-0.411902,3-5
ADA/USDT,5,2026-06-05 14:35:00+00:00,0.16209,0.16109,SwingLow,SwingHigh,0.72426,1,bearish_break,-0.320809,1-2
ADA/USDT,5,2026-06-05 16:10:00+00:00,0.15789,0.15688,SwingHigh,SwingHigh,0.742975,27,bearish_break,1.197036,21-40
ADA/USDT,5,2026-06-05 16:40:00+00:00,0.16,0.15915,SwingLow,SwingHigh,0.748302,21,bearish_break,-0.1375,21-40
ADA/USDT,5,2026-06-05 16:50:00+00:00,0.1621,0.16061,SwingHigh,SwingHigh,0.745038,19,bearish_break,-1.431215,11-20
ADA/USDT,5,2026-06-05 17:40:00+00:00,0.16224,0.16109,SwingLow,SwingHigh,0.706605,9,bearish_break,-1.516272,6-10
ADA/USDT,5,2026-06-05 19:30:00+00:00,0.15923,0.15801,SwingLow,SwingLow,0.736904,1,bearish_break,-0.175846,1-2
ADA/USDT,5,2026-06-05 19:45:00+00:00,0.16171,0.15888,SwingLow,SwingHigh,0.757939,2,bearish_break,-0.735885,1-2
ADA/USDT,5,2026-06-05 20:05:00+00:00,0.16084,0.15915,SwingLow,SwingHigh,0.751918,15,bearish_break,0.945039,11-20
ADA/USDT,5,2026-06-05 20:15:00+00:00,0.16146,0.16061,SwingHigh,SwingHigh,0.730435,13,bearish_break,0.557414,11-20
ADA/USDT,5,2026-06-05 22:15:00+00:00,0.16061,0.15928,SwingHigh,SwingHigh,0.702439,1,bearish_break,-0.379802,1-2
ADA/USDT,5,2026-06-05 22:35:00+00:00,0.16061,0.15928,SwingHigh,SwingHigh,0.701412,2,bearish_break,-0.217919,1-2
ADA/USDT,5,2026-06-06 14:05:00+00:00,0.1605,0.15976,SwingHigh,SwingLow,0.716699,35,bearish_break,-0.535826,21-40
ADA/USDT,5,2026-06-06 16:05:00+00:00,0.1595,0.15842,SwingLow,SwingLow,0.757946,11,bearish_break,0.087774,11-20
ADA/USDT,5,2026-06-06 21:20:00+00:00,0.15875,0.15805,SwingHigh,SwingHigh,0.749544,1,bearish_break,-0.314961,1-2
ADA/USDT,5,2026-06-07 00:45:00+00:00,0.15765,0.15725,SwingLow,,0.72062,60,time_stop,2.226451,41-60
ADA/USDT,5,2026-06-07 01:00:00+00:00,0.1588,0.15775,SwingHigh,,0.763642,60,time_stop,1.139798,41-60
ADA/USDT,5,2026-06-07 05:25:00+00:00,0.16116,0.16094,SwingHigh,SwingHigh,0.759572,55,bearish_break,2.246215,41-60
ADA/USDT,5,2026-06-07 10:40:00+00:00,0.16523,0.16505,SwingLow,SwingHigh,0.735541,1,bearish_break,-0.387339,1-2
ADA/USDT,5,2026-06-07 11:50:00+00:00,0.16525,0.16505,SwingLow,SwingHigh,0.763602,2,bearish_break,-0.29652,1-2
ADA/USDT,5,2026-06-07 17:00:00+00:00,0.16275,0.16245,SwingLow,SwingLow,0.709326,23,bearish_break,-0.466974,21-40
ADA/USDT,5,2026-06-07 22:50:00+00:00,0.16573,0.16511,SwingHigh,SwingHigh,0.699902,17,bearish_break,-0.712001,11-20
ADA/USDT,5,2026-06-08 15:45:00+00:00,0.17051,0.16863,SwingHigh,SwingLow,0.70414,13,bearish_break,-1.102575,11-20
ADA/USDT,5,2026-06-08 17:55:00+00:00,0.16935,0.16906,SwingLow,,0.763514,60,time_stop,1.570712,41-60
ADA/USDT,5,2026-06-08 19:00:00+00:00,0.17198,0.17027,SwingHigh,,0.725885,60,time_stop,-0.94197,41-60
ADA/USDT,5,2026-06-08 20:40:00+00:00,0.17066,0.16906,SwingLow,SwingHigh,0.778385,49,bearish_break,-2.015704,41-60
ADA/USDT,5,2026-06-09 04:35:00+00:00,0.16792,0.16763,SwingHigh,SwingLow,0.709253,5,bearish_break,0.160791,3-5
ADA/USDT,5,2026-06-09 05:15:00+00:00,0.16906,0.16836,SwingLow,SwingHigh,0.742926,49,bearish_break,0.04732,41-60
ADA/USDT,5,2026-06-09 08:50:00+00:00,0.16945,0.16915,SwingLow,SwingHigh,0.743064,6,bearish_break,-0.182945,6-10
ADA/USDT,5,2026-06-09 12:00:00+00:00,0.16802,0.16744,SwingHigh,SwingLow,0.773752,14,bearish_break,0.547554,11-20
ADA/USDT,5,2026-06-10 01:00:00+00:00,0.16664,0.16636,SwingLow,SwingLow,0.710248,8,bearish_break,-1.026164,6-10
ADA/USDT,5,2026-06-10 22:35:00+00:00,0.16061,0.15954,SwingHigh,SwingHigh,0.686567,7,bearish_break,-0.529232,6-10
ADA/USDT,5,2026-06-11 00:10:00+00:00,0.16165,0.16096,SwingLow,,0.695862,60,time_stop,2.647696,41-60
ADA/USDT,5,2026-06-11 01:35:00+00:00,0.16254,0.16165,SwingHigh,SwingHigh,0.720465,46,bearish_break,2.048726,41-60
ADA/USDT,5,2026-06-11 11:40:00+00:00,0.16623,0.16604,SwingLow,SwingLow,0.771874,8,bearish_break,-0.66775,6-10
ADA/USDT,5,2026-06-11 15:20:00+00:00,0.16647,0.16604,SwingLow,SwingLow,0.812134,37,bearish_break,1.555836,21-40
ADA/USDT,5,2026-06-11 21:00:00+00:00,0.16851,0.16806,SwingHigh,,0.76884,60,time_stop,0.676518,41-60
ADA/USDT,5,2026-06-11 21:45:00+00:00,0.17051,0.16976,SwingLow,,0.727987,60,time_stop,0.609935,41-60
ADA/USDT,5,2026-06-12 02:10:00+00:00,0.17086,0.17035,SwingLow,,0.696614,60,time_stop,-1.357837,41-60
