symbol,n_bars,n_trades,win_rate,avg_ret
KAVA/USDT,1789,2,50.0,1.908488
DGB/USDT,3548,2,50.0,1.819273
TRUMP/USDT,3772,2,50.0,1.371467
WLD/USDT,3611,8,50.0,0.887567
VET/USDT,3693,3,33.33,0.582499
HYPE/USDT,3874,54,40.74,0.266392
GRT/USDT,3830,9,33.33,0.005593
ZRX/USDT,2309,1,0.0,0.0
COTI/USDT,1455,1,0.0,0.0
STORJ/USDT,1067,1,0.0,0.0
JUP/USDT,1408,1,0.0,0.0
AUDIO/USDT,2928,2,0.0,0.0
BAT/USDT,3470,1,0.0,0.0
BONK/USDT,3694,1,0.0,0.0
ONE/USDT,3402,3,33.33,-0.021146
ZEC/USDT,3873,70,30.0,-0.024872
ETH/USDT,3873,159,21.38,-0.124383
XRP/USDT,3873,109,22.94,-0.140711
BTC/USDT,3873,189,24.87,-0.165748
DOGE/USDT,3873,54,35.19,-0.169265
SOL/USDT,3873,108,19.44,-0.180298
XLM/USDT,3873,47,25.53,-0.187109
BNB/USDT,3873,60,26.67,-0.199985
ARB/USDT,3690,3,33.33,-0.232877
ONDO/USDT,3835,10,40.0,-0.233342
RVN/USDT,3738,7,57.14,-0.314168
FIL/USDT,3792,9,33.33,-0.318142
HBAR/USDT,3873,21,23.81,-0.320996
LTC/USDT,3873,39,23.08,-0.321195
DASH/USDT,3840,7,28.57,-0.33906
NEAR/USDT,3873,50,28.0,-0.357247
AVAX/USDT,3873,34,32.35,-0.358301
VTHO/USDT,3633,2,0.0,-0.375639
ALGO/USDT,3873,13,38.46,-0.380565
LINK/USDT,3873,31,22.58,-0.461335
FET/USDT,3873,33,27.27,-0.518986
ETC/USDT,3512,3,33.33,-0.583153
SUI/USDT,3873,36,22.22,-0.586152
ICP/USDT,3873,9,22.22,-0.594561
ENA/USDT,2705,2,50.0,-0.61924
AAVE/USDT,3549,5,60.0,-0.626287
CRV/USDT,3698,7,28.57,-0.681692
ATOM/USDT,3873,24,29.17,-0.725373
PENGU/USDT,3874,18,22.22,-0.734266
PEPE/USDT,3873,14,21.43,-0.779252
TRX/USDT,3870,18,22.22,-0.788155
ADA/USDT,3873,46,23.91,-0.816905
ZIL/USDT,3040,1,0.0,-0.849858
1INCH/USDT,2159,2,50.0,-0.869518
BCH/USDT,3873,16,31.25,-0.941229
UNI/USDT,3660,31,12.9,-0.973205
SHIB/USDT,3868,10,20.0,-1.103409
DOT/USDT,3873,14,28.57,-1.353484
SEI/USDT,2582,2,50.0,-1.423193
THETA/USDT,3544,4,25.0,-1.528297
INJ/USDT,3873,8,12.5,-1.536885
IOTA/USDT,3843,9,22.22,-1.612146
FLOKI/USDT,3844,4,0.0,-1.692093
XDC/USDT,3843,7,14.29,-1.841286
RENDER/USDT,3870,10,10.0,-1.867418
CHZ/USDT,3300,4,0.0,-2.025225
APE/USDT,3726,5,0.0,-2.18317
OP/USDT,2905,10,10.0,-2.498621
JTO/USDT,1995,3,33.33,-2.502333
QNT/USDT,2953,1,0.0,-2.618343
NEO/USDT,2511,3,0.0,-2.720058
VIRTUAL/USDT,2663,3,0.0,-3.467311
ZEN/USDT,2931,1,0.0,-6.989247
APT/USDT,2923,4,25.0,-9.716197
FLOW/USDT,835,1,0.0,-37.5
