symbol,n_bars,n_trades,win_rate,avg_ret
LSK/USDT,241,1,100.0,29.090909
KNC/USDT,691,7,28.57,1.498413
ENJ/USDT,1123,18,22.22,1.292103
SUSHI/USDT,1534,28,46.43,0.715085
STORJ/USDT,937,8,25.0,0.700934
ANKR/USDT,554,10,20.0,0.368003
LDO/USDT,1233,35,42.86,0.340102
THETA/USDT,3400,92,28.26,0.276476
ATOM/USDT,3741,191,42.93,0.226346
TLM/USDT,417,4,25.0,0.194704
WIF/USDT,2339,29,34.48,0.169789
OP/USDT,2724,153,33.33,0.153936
APE/USDT,3544,182,40.66,0.131981
AAVE/USDT,3376,80,38.75,0.118059
SUI/USDT,3741,211,40.76,0.093001
BCH/USDT,3741,170,33.53,0.087909
UNI/USDT,3512,155,35.48,0.072198
EGLD/USDT,1012,10,30.0,0.053138
HYPE/USDT,3742,255,39.22,0.03795
TIA/USDT,2664,51,33.33,0.025789
LTC/USDT,3741,251,34.26,0.019166
PENGU/USDT,3742,210,35.24,0.017709
XRP/USDT,3741,242,44.21,0.016778
CRV/USDT,3645,148,37.84,0.015654
SOL/USDT,3741,285,43.86,0.014238
ETH/USDT,3741,290,49.31,0.01343
CAKE/USDT,3433,152,38.16,0.000151
REQ/USDT,683,4,0.0,0.0
RLC/USDT,388,5,0.0,0.0
NEIRO/USDT,252,2,0.0,0.0
BLUR/USDT,208,1,0.0,0.0
BAND/USDT,462,3,0.0,0.0
EIGEN/USDT,671,5,0.0,0.0
SKL/USDT,201,2,0.0,0.0
ALICE/USDT,330,2,0.0,0.0
BRETT/USDT,274,3,0.0,0.0
ADA/USDT,3741,271,35.06,-0.009159
AVAX/USDT,3741,259,30.12,-0.016674
BTC/USDT,3741,262,46.95,-0.017879
DOGE/USDT,3741,271,34.69,-0.020841
HBAR/USDT,3741,249,32.93,-0.025236
ALGO/USDT,3741,219,31.05,-0.025775
LINK/USDT,3741,223,29.6,-0.029566
PEPE/USDT,3741,173,31.79,-0.030723
XLM/USDT,3741,207,37.68,-0.031286
DASH/USDT,3698,189,36.51,-0.034602
BNB/USDT,3741,280,36.07,-0.042628
NEAR/USDT,3741,280,37.14,-0.045399
GALA/USDT,2604,30,30.0,-0.052782
INJ/USDT,3741,168,33.33,-0.057766
ETC/USDT,3313,108,28.7,-0.065193
ARB/USDT,3523,136,30.15,-0.076441
ONDO/USDT,3703,114,28.95,-0.084145
GRT/USDT,3698,337,24.93,-0.086769
AXS/USDT,870,15,6.67,-0.086957
SHIB/USDT,3718,137,31.39,-0.089374
ZEC/USDT,3741,330,44.24,-0.101316
DGB/USDT,3439,65,30.77,-0.101428
FLOKI/USDT,3704,147,29.25,-0.104187
KSM/USDT,2046,25,12.0,-0.10607
FET/USDT,3741,193,29.53,-0.106982
MANA/USDT,2617,44,27.27,-0.157197
BONK/USDT,3530,100,33.0,-0.164707
RENDER/USDT,3728,212,25.94,-0.165283
TRX/USDT,3738,143,26.57,-0.171271
TRUMP/USDT,3640,103,27.18,-0.171974
CTSI/USDT,1084,11,9.09,-0.173307
ONE/USDT,3247,55,29.09,-0.177167
DOT/USDT,3741,161,27.95,-0.179506
FIL/USDT,3640,140,30.71,-0.181169
XDC/USDT,3695,119,30.25,-0.182131
COTI/USDT,1215,13,23.08,-0.190309
VET/USDT,3561,113,27.43,-0.229856
RVN/USDT,3559,113,24.78,-0.235465
IOTA/USDT,3696,131,26.72,-0.237461
COMP/USDT,2104,67,25.37,-0.27242
JTO/USDT,1876,40,20.0,-0.289834
ICP/USDT,3740,139,30.94,-0.298999
BAT/USDT,3216,98,28.57,-0.30254
1INCH/USDT,2119,28,28.57,-0.362381
VTHO/USDT,3460,71,19.72,-0.413436
APT/USDT,2745,74,21.62,-0.443999
ZRX/USDT,2071,62,16.13,-0.571856
WLD/USDT,3525,154,30.52,-0.581179
AXL/USDT,445,4,0.0,-0.595238
NEO/USDT,2347,68,19.12,-0.64788
VIRTUAL/USDT,2441,37,18.92,-0.674917
ZEN/USDT,2715,46,30.43,-0.692674
QNT/USDT,2779,44,27.27,-0.728427
ONT/USDT,3049,66,24.24,-0.759196
CELR/USDT,1171,16,25.0,-0.787155
ZIL/USDT,2915,77,15.58,-0.78771
ENA/USDT,2587,73,24.66,-0.855077
YFI/USDT,1861,29,17.24,-0.912162
CHZ/USDT,3168,75,25.33,-0.915698
ASTR/USDT,789,7,14.29,-1.024866
ILV/USDT,474,3,0.0,-1.058201
SNX/USDT,841,6,0.0,-1.070951
FARTCOIN/USDT,757,8,12.5,-1.14303
OCEAN/USDT,399,3,0.0,-1.412873
SEI/USDT,2358,42,16.67,-1.415004
QTUM/USDT,1767,25,12.0,-1.815176
KAVA/USDT,1636,26,11.54,-1.945307
JUP/USDT,1248,17,0.0,-1.968223
METIS/USDT,373,3,0.0,-2.060606
IMX/USDT,946,11,0.0,-2.078914
CELO/USDT,413,4,0.0,-2.720504
ENS/USDT,979,12,8.33,-3.299613
GIGA/USDT,539,3,0.0,-3.689212
AUDIO/USDT,2702,40,25.0,-5.222486
ME/USDT,748,6,0.0,-6.059055
FLOW/USDT,762,7,28.57,-7.106915
SAND/USDT,956,5,0.0,-7.675738
GTC/USDT,214,1,0.0,-8.045977
