Ticker,Timestamp,Headline,Summary,Source,URL
RPGL,2026-07-08 21:05:37+00:00,12 Information Technology Stocks Moving In Wednesday's After-Market Session,"Gainers

Republic Power Group (NASDAQ:RPGL) stock moved upwards by 35.4% to $2.41 during Wednesday&#39;s after-market session. The company&#39;s market cap stands at $2.0 million. 
PicoCELA (NASDAQ:PCLA) stock rose",benzinga,https://www.benzinga.com/trading-ideas/movers/26/07/60347303/12-information-technology-stocks-moving-wednesday-s-after-market-session
VMAR,2026-07-08 21:05:38+00:00,12 Consumer Discretionary Stocks Moving In Wednesday's After-Market Session,"Gainers

Raytech Holding (NASDAQ:RAY) stock increased by 14.1% to $3.16 during Wednesday&#39;s after-market session. 
Newton Golf Co (NASDAQ:NWTG) shares increased by 12.87% to $0.86. The market value of their",benzinga,https://www.benzinga.com/trading-ideas/movers/26/07/60347306/12-consumer-discretionary-stocks-moving-wednesday-s-after-market-session
