ticker,entry_price,known_peak,exit_price,exit_bar,peak_bar,exited_before_peak,peak_capture,gain_pct,total_fwd_bars
BAOS,2.6700000762939453,3.819999933242798,2.8399999141693115,16,56,True,14.782596436699134,6.367034944483298,64
BAOS,2.6700000762939453,3.819999933242798,2.8399999141693115,16,56,True,14.782596436699134,6.367034944483298,64
BAOS,2.6700000762939453,3.819999933242798,2.8399999141693115,16,56,True,14.782596436699134,6.367034944483298,64
CCTG,0.6150000095367432,4.5,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
BGI,0.6899999976158142,0.7099999785423279,0.6800000071525574,21,35,True,-50.0,-1.449273985189887,64
AIOS,7.409999847412109,33.86989974975586,8.300000190734863,12,20,True,3.3635816711608952,12.010801101886397,64
CLWT,1.2649999856948853,2.25,1.1699999570846558,7,46,True,-9.644672815284059,-7.509883769527825,64
CHNR,4.070000171661377,5.329999923706055,4.050000190734863,3,11,True,-1.5873003858975763,-0.4914000020385666,64
BGI,0.6899999976158142,0.7099999785423279,0.6800000071525574,21,35,True,-50.0,-1.449273985189887,64
CHNR,4.070000171661377,5.329999923706055,4.050000190734863,3,11,True,-1.5873003858975763,-0.4914000020385666,64
CHNR,4.070000171661377,5.329999923706055,4.050000190734863,3,11,True,-1.5873003858975763,-0.4914000020385666,64
BGI,0.6899999976158142,0.7099999785423279,0.6800000071525574,21,35,True,-50.0,-1.449273985189887,64
CCTG,0.6150000095367432,4.5,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
BGI,0.6899999976158142,0.7099999785423279,0.6800000071525574,21,35,True,-50.0,-1.449273985189887,64
BGMS,0.9950000047683716,2.240000009536743,0.9678000211715698,9,27,True,-2.184737629929747,-2.7336666800452636,64
BTOG,2.049999952316284,2.2625999450683594,1.9600000381469727,13,49,True,-42.33298082670468,-4.390239817694683,64
APWC,1.382699966430664,2.26990008354187,1.5299999713897705,14,9,False,16.602793678468725,10.653070697567914,64
CCTG,0.6150000095367432,4.5,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
CIIT,1.440000057220459,3.4200000762939453,1.4500000476837158,7,16,True,0.5050500185316258,0.6944437545758981,64
ACCL,1.4019999504089355,2.1600000858306885,1.3799999952316284,5,42,True,-2.9023682383732434,-1.569183734342514,64
AHMA,1.0700000524520874,5.400000095367432,1.0499999523162842,18,53,True,-0.4618960724614072,-1.8691681453631321,64
BBGI,22.799999237060547,24.989999771118164,22.040000915527344,7,20,True,-34.70311124194494,-3.333326083177469,64
BQ,0.7599999904632568,1.2999999523162842,0.7710000276565552,7,3,False,2.0370440685868485,1.4473733330698182,64
BGMS,0.9950000047683716,2.240000009536743,0.9678000211715698,9,27,True,-2.184737629929747,-2.7336666800452636,64
BCG,1.9199999570846558,2.5,1.899999976158142,6,44,True,-3.4482723183923683,-1.041665696538963,64
ACCL,1.4019999504089355,2.1600000858306885,1.3799999952316284,5,42,True,-2.9023682383732434,-1.569183734342514,64
AIHS,1.2200000286102295,1.5399999618530271,1.2000000476837158,12,8,False,-6.24999534338616,-1.6393426604503258,64
CHR,1.659999966621399,2.880000114440918,1.6299999952316284,9,36,True,-2.4590137503990332,-1.8072272284938358,64
APWC,1.382699966430664,2.26990008354187,1.5299999713897705,14,9,False,16.602793678468725,10.653070697567914,64
CIIT,1.440000057220459,3.4200000762939453,1.4500000476837158,7,16,True,0.5050500185316258,0.6944437545758981,64
CCTG,0.6150000095367432,4.5,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
CCTG,0.6150000095367432,4.5,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
BQ,0.7599999904632568,1.2999999523162842,0.7710000276565552,7,3,False,2.0370440685868485,1.4473733330698182,64
CCTG,0.6150000095367432,4.5,0.6003999710083008,8,51,True,-0.3758053684499865,-2.373989967811554,64
AGMH,0.8615000247955322,1.4500000476837158,0.8202999830245972,9,62,True,-7.000856443256785,-4.782361066177966,64
BYAH,1.1100000143051147,6.489999771118164,1.100000023841858,2,53,True,-0.185873437086929,-0.9009000301245093,64
AIOS,7.409999847412109,33.86989974975586,8.300000190734863,12,20,True,3.3635816711608952,12.010801101886397,64
AXIL,6.769999980926514,7.25,6.75,9,13,True,-4.166662527455388,-0.2954206939861255,64
BENF,3.434799909591675,3.869999885559082,3.4100000858306885,2,62,True,-5.698489230349503,-0.7220165486709386,64
AMBO,2.299999952316284,2.880000114440918,2.220099925994873,4,25,True,-13.775862756438636,-3.4739142599088058,64
CETX,10.850000381469727,11.549999237060549,10.803999900817871,14,21,True,-6.5715079795422735,-0.423967548705508,64
BENF,3.434799909591675,3.869999885559082,3.4100000858306885,2,62,True,-5.698489230349503,-0.7220165486709386,64
