ticker,entry_price,peak_price,exit_price,exit_bar,peak_capture,gain_pct,total_bars
BAOS,2.6700000762939453,3.819999933242798,2.6500000953674316,46,-1.7391289925528395,-0.7490629346450939,133
BAOS,2.6700000762939453,3.819999933242798,2.6500000953674316,46,-1.7391289925528395,-0.7490629346450939,133
BAOS,2.6700000762939453,3.819999933242798,2.6500000953674316,46,-1.7391289925528395,-0.7490629346450939,133
CCTG,0.6150000095367432,4.5,0.6342999935150146,25,0.4967820856022732,3.1382087282908255,378
BGI,0.6899999976158142,0.7099999785423279,0.70169997215271,6,58.49992847435806,1.695648489467125,9
AIOS,7.409999847412109,33.86989974975586,24.299999237060547,18,63.83243871664218,227.93521912887962,20
CLWT,1.2649999856948853,2.25,1.159999966621399,61,-10.659900258738615,-8.30039685856661,189
CHNR,4.070000171661377,5.329999923706055,4.800099849700928,11,57.9444302949087,17.93856627139953,11
BGI,0.6899999976158142,0.7099999785423279,0.70169997215271,6,58.49992847435806,1.695648489467125,9
CHNR,4.070000171661377,5.329999923706055,4.800099849700928,11,57.9444302949087,17.93856627139953,11
CHNR,4.070000171661377,5.329999923706055,4.800099849700928,11,57.9444302949087,17.93856627139953,11
BGI,0.6899999976158142,0.7099999785423279,0.70169997215271,6,58.49992847435806,1.695648489467125,9
CCTG,0.6150000095367432,4.5,0.6342999935150146,25,0.4967820856022732,3.1382087282908255,378
BGI,0.6899999976158142,0.7099999785423279,0.70169997215271,6,58.49992847435806,1.695648489467125,9
BGMS,0.9950000047683716,2.240000009536743,1.0199999809265137,27,2.008030205814598,2.512560405862701,209
BTOG,2.049999952316284,2.2625999450683594,2.0450000762939453,28,-2.3517761960460195,-0.24389639700671864,78
APWC,1.382699966430664,2.26990008354187,1.4500000476837158,40,7.585670916296332,4.867294632745371,163
CCTG,0.6150000095367432,4.5,0.6342999935150146,25,0.4967820856022732,3.1382087282908255,378
CIIT,1.440000057220459,3.4200000762939453,1.5405000448226929,16,5.075756900712631,6.979165528383565,245
ACCL,1.4019999504089355,2.1600000858306885,1.5199999809265137,52,15.567283566766468,8.416550263297788,165
AHMA,1.0700000524520874,5.400000095367432,1.059999942779541,11,-0.23094941278137762,-0.934589643208842,573
BBGI,22.799999237060547,24.989999771118164,22.55500030517578,15,-11.187163111363876,-1.0745567547499257,457
BQ,0.7599999904632568,1.2999999523162842,0.8288999795913696,130,12.759258147293243,9.065788156933385,550
BGMS,0.9950000047683716,2.240000009536743,1.0199999809265137,27,2.008030205814598,2.512560405862701,209
BCG,1.9199999570846558,2.5,1.9199999570846558,9,0.0,0.0,99
ACCL,1.4019999504089355,2.1600000858306885,1.5199999809265137,52,15.567283566766468,8.416550263297788,165
AIHS,1.2200000286102295,1.5399999618530271,1.190000057220459,115,-9.37499301507924,-2.459013990675489,170
CHR,1.659999966621399,2.880000114440918,1.625,21,-2.868849375465539,-2.1084317665761416,363
APWC,1.382699966430664,2.26990008354187,1.4500000476837158,40,7.585670916296332,4.867294632745371,163
CIIT,1.440000057220459,3.4200000762939453,1.5405000448226929,16,5.075756900712631,6.979165528383565,245
CCTG,0.6150000095367432,4.5,0.6342999935150146,25,0.4967820856022732,3.1382087282908255,378
CCTG,0.6150000095367432,4.5,0.6342999935150146,25,0.4967820856022732,3.1382087282908255,378
BQ,0.7599999904632568,1.2999999523162842,0.8288999795913696,130,12.759258147293243,9.065788156933385,550
CCTG,0.6150000095367432,4.5,0.6342999935150146,25,0.4967820856022732,3.1382087282908255,378
AGMH,0.8615000247955322,1.4500000476837158,0.8202999830245972,9,-7.000856443256785,-4.782361066177966,351
BYAH,1.1100000143051147,6.489999771118164,1.3492000102996826,117,4.446096780797306,21.549548910980196,210
AIOS,7.409999847412109,33.86989974975586,24.299999237060547,18,63.83243871664218,227.93521912887962,20
AXIL,6.769999980926514,7.25,6.739999771118164,39,-6.2500434617184215,-0.4431345626716517,112
BENF,3.434799909591675,3.869999885559082,3.309999942779541,77,-28.67646454591722,-3.6333984539719486,217
AMBO,2.299999952316284,2.880000114440918,2.2520999908447266,72,-8.258611738329929,-2.0826070636792196,161
CETX,10.850000381469727,11.549999237060549,10.903999328613281,26,7.714147917853065,0.4976861312906245,78
BENF,3.434799909591675,3.869999885559082,3.309999942779541,77,-28.67646454591722,-3.6333984539719486,217
BELFA,237.4949951171875,276.2049865722656,252.0449981689453,56,37.587202954158975,6.1264461781935164,129
AZI,1.3600000143051147,6.989999771118164,1.3200000524520874,18,-0.7104789268351577,-2.9411736347271384,323
CIIT,1.440000057220459,3.4200000762939453,1.5405000448226929,16,5.075756900712631,6.979165528383565,245
CHR,1.659999966621399,2.880000114440918,1.625,21,-2.868849375465539,-2.1084317665761416,363
BKTI,94.52999877929688,97.80999755859376,96.94000244140625,55,73.47574875091847,2.549459106347934,55
AZI,1.3600000143051147,6.989999771118164,1.3200000524520874,18,-0.7104789268351577,-2.9411736347271384,323
BTBD,1.809999942779541,2.309999942779541,1.809999942779541,8,0.0,0.0,37
BNRG,3.0450000762939453,3.4000000953674316,2.76990008354187,101,-77.4929515412585,-9.034482294230287,103
BGMS,0.9950000047683716,2.240000009536743,1.0199999809265137,27,2.008030205814598,2.512560405862701,209
ARTL,4.010000228881836,4.119999885559082,4.099999904632568,1,81.81814241002921,2.2443808133105336,1
ANNA,3.809999942779541,4.099899768829346,3.9149999618530273,2,36.21941430742609,2.755906053817019,49
BKTI,94.52999877929688,97.80999755859376,96.94000244140625,55,73.47574875091847,2.549459106347934,55
BCG,1.9199999570846558,2.5,1.9199999570846558,9,0.0,0.0,99
AIOS,7.409999847412109,33.86989974975586,24.299999237060547,18,63.83243871664218,227.93521912887962,20
BBGI,22.799999237060547,24.989999771118164,22.55500030517578,15,-11.187163111363876,-1.0745567547499257,457
BBGI,22.799999237060547,24.989999771118164,22.55500030517578,15,-11.187163111363876,-1.0745567547499257,457
BCG,1.9199999570846558,2.5,1.9199999570846558,9,0.0,0.0,99
BQ,0.7599999904632568,1.2999999523162842,0.8288999795913696,130,12.759258147293243,9.065788156933385,550
BELFA,237.4949951171875,276.2049865722656,252.0449981689453,56,37.587202954158975,6.1264461781935164,129
ACXP,2.0,2.2999000549316406,2.0299999713897705,14,10.003323072617881,1.4999985694885254,68
CABO,100.99500274658203,104.5500030517578,103.9000015258789,3,81.71585175583397,2.8763787319122467,3
AMCI,6.920000076293945,7.21999979019165,7.150000095367432,8,76.66674613960215,3.32369966094949,8
BIYA,0.7570000290870667,2.380000114440918,1.6821999549865723,5,57.005537722925666,122.21927217298605,45
BBGI,22.540000915527344,24.989999771118164,21.0,368,-62.85720958657226,-6.832301920921702,425
ACXP,2.049999952316284,2.2200000286102295,2.1449999809265137,19,55.88234469140235,4.634147844876262,22
APWC,1.5800000429153442,2.26990008354187,1.9077999591827393,117,47.514117548059104,20.746829579988717,153
BELFA,227.5,276.2049865722656,252.0449981689453,21,50.39524676293027,10.789010184151786,94
BKTI,91.22000122070312,97.80999755859376,96.94000244140625,17,86.79824581714432,6.270555957200452,17
BIYA,1.8849999904632568,2.0,2.199899911880493,1,273.8259959157864,16.70556620744845,1
ALGS,6.050000190734863,6.849999904632568,6.129799842834473,13,9.974960079774885,1.3190024724596994,175
AHMA,1.1309000253677368,5.400000095367432,1.1200000047683716,18,-0.2553236143599233,-0.963835914303818,512
CABO,92.63999938964844,95.55999755859376,94.71499633789062,5,71.0615838842,2.239849915709355,5
AHMA,1.1309000253677368,5.400000095367432,1.1200000047683716,18,-0.2553236143599233,-0.963835914303818,512
BIYA,2.0,2.140000104904175,2.090100049972534,8,64.35713032801263,4.505002498626709,8
CLWT,1.2000000476837158,2.25,1.159999966621399,58,-3.8095317027469684,-3.3333399560713786,186
BESS,2.509999990463257,6.199999809265137,2.700000047683716,33,5.149053294050048,7.5697234239985685,685
BELFA,244.2899932861328,276.2049865722656,252.0449981689453,2,24.298939414729816,3.1745077964487853,75
APWC,1.5299999713897705,2.26990008354187,1.4500000476837158,20,-10.812259978358982,-5.22875328117732,143
BDSX,11.083000183105469,18.219999313354492,11.430000305175781,23,4.861989132093463,3.1309222804062307,544
BNAI,27.899999618530273,30.899900436401367,25.8799991607666,508,-67.33557475400748,-7.240145108898329,508
CABO,72.0,74.6500015258789,74.29000091552734,2,86.4150791297313,3.1805568271213107,2
BDSX,11.279999732971191,18.219999313354492,14.649999618530273,14,48.55907909684563,29.875886217520435,519
BARK,9.305000305175781,10.710000038146973,8.640000343322754,84,-47.330967134544125,-7.146694680742032,473
BDSX,14.720000267028809,18.219999313354492,14.574999809265137,18,-4.1428713506620545,-0.9850574397641625,506
BIYA,1.149899959564209,2.0,1.6098999977111816,3,54.11128293925977,40.00348328747696,322
ADV,38.04999923706055,43.5,39.834999084472656,2,32.752286193247635,4.691195488050172,17
BNZI,5.644000053405762,8.175000190734863,5.53249979019165,46,-4.4053835307877405,-1.9755539007627874,176
ADV,40.720001220703125,45.625,43.459999084472656,7,55.86133630317246,6.728874709307337,24
ASBP,0.19050000607967377,6.980000019073486,5.239999771118164,59,74.37218875284937,2650.655960045803,164
ASBP,0.19050000607967377,6.980000019073486,5.239999771118164,59,74.37218875284937,2650.655960045803,164
BJDX,1.7100000381469727,6.20989990234375,1.8200000524520874,18,2.444499158310704,6.432749231065244,223
BBGI,16.774999618530273,24.989999771118164,15.960100173950195,33,-9.919652214776507,-4.857820942540652,333
CCHH,0.4699000120162964,0.8799999952316284,0.48019999265670776,118,2.5115779229386472,2.191951559272182,294
BH,301.7900085449219,348.6600036621094,306.67999267578125,5,10.433080094489256,1.6203267147366456,495
AIMD,1.7000000476837158,3.8798999786376953,1.7999999523162842,101,4.587362163400128,5.882347166332156,119
ADIL,1.440000057220459,5.159999847412109,1.6100000143051147,74,4.569891577222308,11.805552106212824,328
AMBO,2.2300000190734863,2.880000114440918,2.2520999908447266,17,3.3999951582695656,0.9910301157944503,106
BODI,12.279999732971191,13.920000076293944,13.8503999710083,14,95.75609202955238,12.788275832129397,14
BELFA,266.54998779296875,273.7550048828125,267.8800048828125,385,18.4595966013537,0.49897473297833483,385
BNZI,4.815000057220459,8.175000190734863,5.119999885559082,12,9.077375482708906,6.334368114518557,71
BBGI,16.18000030517578,24.989999771118164,14.579999923706055,47,-18.161185907615472,-9.888753716264803,288
ASTC,2.700000047683716,68.8499984741211,9.600000381469727,104,10.430839754983834,255.55556340472677,157
BODI,12.920000076293945,13.510000228881836,13.079999923706055,3,27.118611191930945,1.2383889045456165,3
BELFA,268.7099914550781,273.7550048828125,267.8800048828125,376,-16.45162265977074,-0.30887819532545324,376
APWC,1.4500000476837158,2.26990008354187,1.9077999591827393,84,55.836064334338495,31.572406651319092,120
BARK,9.350000381469727,10.710000038146973,9.229999542236328,149,-8.82359334755898,-1.2834313832887299,338
ARTL,2.319999933242798,2.4226999282836914,2.390000104904175,6,68.15985885247994,3.0172488653279257,6
BGMS,1.0199999809265137,2.240000009536743,1.0500999689102173,62,2.467212071953162,2.950979269270416,123
ANNA,3.630000114440918,3.838399887084961,3.7808001041412354,13,72.36091853031489,4.154269557744715,13
BTBD,1.1100000143051147,1.2400000095367432,1.1259000301361084,36,12.23078185707906,1.432433840187599,207
BNZI,5.910099983215332,8.175000190734863,7.789999961853027,13,83.0014484698432,31.8082601644068,13
CETX,7.9830002784729,9.779999732971191,9.154000282287598,37,65.16418248672379,14.668670461811665,192
CDTG,8.304999351501465,15.119999885559082,9.25,35,13.866479448914825,11.378696234668435,123
CHNR,4.0,4.75,4.28980016708374,43,38.64002227783203,7.245004177093506,68
AKTX,3.490000009536743,29.31999969482422,8.830100059509277,54,20.674022899869428,153.01146233181157,121
AMCI,5.0,5.592700004577637,5.28000020980835,51,47.24147252333501,5.600004196166992,51
AMBO,2.4644999504089355,2.700000047683716,2.819999933242798,1,150.95534437043852,14.424832216972616,1
CDIO,1.340000033378601,2.569999933242798,1.3700000047683716,11,2.4390222627727676,2.2388037792902336,152
BLRX,2.680000066757202,3.5999999046325684,2.740000009536743,2,6.521734060095487,2.2388037792902336,71
BNZI,3.8299999237060547,4.0,3.880000114440918,83,29.411863703171807,1.305488034748606,84
AEMD,2.059999942779541,2.2100000381469727,2.069999933242798,5,6.66665607029211,0.4854364437391164,17
AKTX,3.430000066757202,16.110000610351562,17.530000686645508,41,111.19873829194191,411.0787272729927,41
BESS,4.150000095367432,6.199999809265137,4.78000020980835,12,30.731717188539807,15.180725300324099,423
BQ,0.7200999855995178,1.1100000143051147,0.7386999726295471,19,4.770450284853313,2.582972837382286,209
BLRX,2.805000066757202,3.365000009536743,3.369999885559082,14,100.89283509521843,20.14259555633678,14
BIYA,1.2450000047683716,2.0,1.2800999879837036,6,4.649004428743555,2.819275749469758,27
ASTC,2.5,29.0,9.600000381469727,3,26.79245426969708,284.00001525878906,36
ACON,3.319999933242798,3.612099885940552,3.3350000381469727,17,5.135264407144878,0.4518103977647827,99
AZI,1.2100000381469727,1.7999999523162842,4.40500020980835,97,541.5255316027914,264.04959263921086,97
BJDX,2.119999885559082,4.860000133514404,5.809999942779541,1,134.67152274800185,174.0566158685117,1
CABO,43.68000030517578,49.279998779296875,44.2599983215332,56,10.357110257042546,1.3278342772554792,139
BJDX,5.260000228881836,5.440000057220459,5.389999866485596,16,72.22208976732973,2.471475892528524,16
