ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,peak_capture,vpin_at_entry,exit_reason,status
CDTG,2025-11-28 09:00:00,,,,,,,,,,no_previous_day
APWC,2026-04-27 14:30:00+00:00,,1.382699966430664,,,,,,0.0,,low_vpin
CIIT,2026-04-27 15:00:00+00:00,,1.440000057220459,,,,,,0.0,,low_vpin
APWC,2025-12-18 08:00:00,,,,,,,,,,no_previous_day
CHR,2025-12-19 07:00:00,,,,,,,,,,no_previous_day
CCTG,2026-04-27 14:30:00+00:00,,0.6150000095367432,0.6198999881744385,4.5,0.0048999786376953125,0.7967444815791604,0.12612557656946163,1.0,volume_divergence,completed
CDTG,2025-12-23 09:03:00,,,,,,,,,,no_previous_day
CCTG,2026-04-27 14:30:00+00:00,,0.6150000095367432,0.6198999881744385,4.5,0.0048999786376953125,0.7967444815791604,0.12612557656946163,1.0,volume_divergence,completed
CCHH,2025-12-31 01:24:00,,,,,,,,,,no_previous_day
CCHH,2025-12-31 01:27:00,,,,,,,,,,no_previous_day
CCHH,2025-12-31 01:31:00,,,,,,,,,,no_previous_day
CHNR,2025-12-31 08:00:00,,,,,,,,,,no_previous_day
ADVB,2025-12-31 10:25:00,,,,,,,,,,no_previous_day
BQ,2026-04-27 14:30:00+00:00,,0.7599999904632568,0.7655500173568726,1.2999999523162842,0.005550026893615723,0.7302667056920241,1.0277828306821775,1.0,volume_divergence,completed
CDTG,2026-01-06 08:00:00,,,,,,,,,,no_previous_day
BTBD,2026-01-06 11:00:00,,,,,,,,,,no_previous_day
CDTG,2026-01-07 08:22:00,,,,,,,,,,no_previous_day
AMCI,2026-01-09 07:30:00,,,,,,,,,,no_previous_day
BTOG,2026-01-15 11:30:00,,,,,,,,,,no_previous_day
ANNA,2026-01-20 07:00:00,,,,,,,,,,no_previous_day
AGMH,2026-01-20 08:00:00,,,,,,,,,,no_previous_day
CCTG,2026-04-27 14:30:00+00:00,,0.6150000095367432,0.6198999881744385,4.5,0.0048999786376953125,0.7967444815791604,0.12612557656946163,1.0,volume_divergence,completed
BENF,2026-01-21 07:00:00,,,,,,,,,,no_previous_day
AMCI,2026-01-21 10:00:00,,,,,,,,,,no_previous_day
BH,2026-01-23 05:46:00,,,,,,,,,,no_previous_day
AGMH,2026-04-27 14:30:00+00:00,,0.8615000247955322,0.8626000285148621,1.4500000476837158,0.001100003719329834,0.12768469967147222,0.18691651258250458,1.0,volume_divergence,completed
BJDX,2026-01-27 08:00:00,,,,,,,,,,no_previous_day
APWC,2026-01-28 09:00:00,,,,,,,,,,no_previous_day
BYAH,2026-04-27 14:30:00+00:00,,1.1100000143051147,,,,,,0.0,,low_vpin
ATPC,2026-01-29 08:27:00,,,,,,,,,,no_previous_day
AIOS,2026-04-27 15:15:00+00:00,,7.409999847412109,,,,,,0.0,,low_vpin
AHMA,2026-02-05 07:30:00,,,,,,,,,,no_previous_day
BNBX,2026-02-05 08:00:00,,,,,,,,,,no_previous_day
ATPC,2026-02-05 09:00:00,,,,,,,,,,no_previous_day
ATPC,2026-02-06 11:00:00,,,,,,,,,,no_previous_day
BGDE,2026-02-07 10:30:00,,,,,,,,,,no_previous_day
AIRE,2026-02-09 08:30:00,,,,,,,,,,no_previous_day
CCHH,2026-02-10 00:03:00,,,,,,,,,,no_previous_day
AIOS,2026-02-10 06:15:00,,,,,,,,,,no_previous_day
BNKK,2026-02-10 08:50:00,,,,,,,,,,no_previous_day
AXIL,2026-04-27 15:15:00+00:00,,6.769999980926514,,,,,,0.0,,low_vpin
BTTC,2026-02-11 00:00:00,,,,,,,,,,no_previous_day
AXIL,2026-02-11 04:56:00,,,,,,,,,,no_previous_day
BENF,2026-04-27 14:30:00+00:00,,3.434799909591675,3.4100000858306885,3.869999885559082,-0.024799823760986328,-0.7220165486709386,-5.698489230349503,0.5200152588036145,volume_divergence,completed
AMBO,2026-04-27 14:30:00+00:00,,2.299999952316284,,,,,,0.0,,low_vpin
CISS,2026-02-16 08:15:00,,,,,,,,,,no_previous_day
CETX,2026-04-27 14:30:00+00:00,,10.850000381469727,10.850000381469727,11.549999237060547,0.0,0.0,0.0,1.0,momentum_reversal,completed
BENF,2026-04-27 14:30:00+00:00,,3.434799909591675,3.4100000858306885,3.869999885559082,-0.024799823760986328,-0.7220165486709386,-5.698489230349503,0.5200152588036145,volume_divergence,completed
BENF,2026-02-18 00:02:00,,,,,,,,,,no_previous_day
ADVB,2026-02-18 07:00:00,,,,,,,,,,no_previous_day
CISS,2026-02-19 09:10:00,,,,,,,,,,no_previous_day
BJDX,2026-02-20 06:30:00,,,,,,,,,,no_previous_day
CISS,2026-02-20 08:30:00,,,,,,,,,,no_previous_day
AEMD,2026-02-23 08:01:00,,,,,,,,,,no_previous_day
BGLC,2026-02-23 08:30:00,,,,,,,,,,no_previous_day
ABTS,2026-02-23 09:00:00,,,,,,,,,,no_previous_day
ABTS,2026-02-24 09:11:00,,,,,,,,,,no_previous_day
ALGS,2026-02-26 08:00:00,,,,,,,,,,no_previous_day
APWC,2026-02-26 09:15:00,,,,,,,,,,no_previous_day
AIRE,2026-02-27 08:30:00,,,,,,,,,,no_previous_day
BH,2026-02-28 09:44:00,,,,,,,,,,no_previous_day
AERT,2026-03-02 08:00:00,,,,,,,,,,no_previous_day
BH,2026-03-03 00:58:00,,,,,,,,,,no_previous_day
ADV,2026-03-03 07:00:00,,,,,,,,,,no_previous_day
CLWT,2026-03-03 07:00:00,,,,,,,,,,no_previous_day
AEHL,2026-03-03 10:19:00,,,,,,,,,,no_previous_day
ADV,2026-03-03 11:18:00,,,,,,,,,,no_previous_day
ADV,2026-03-03 12:31:00,,,,,,,,,,no_previous_day
AERT,2026-03-04 08:00:00,,,,,,,,,,no_previous_day
AXIL,2026-03-04 08:00:00,,,,,,,,,,no_previous_day
BH,2026-03-04 11:01:00,,,,,,,,,,no_previous_day
BELFA,2026-04-27 14:45:00+00:00,,237.4949951171875,234.4199981689453,276.2049865722656,-3.0749969482421875,-1.2947628419390007,-7.943677672496095,1.0,volume_divergence,completed
BJDX,2026-03-06 06:30:00,,,,,,,,,,no_previous_day
ADIL,2026-03-06 08:00:00,,,,,,,,,,no_previous_day
AMCI,2026-03-06 08:30:00,,,,,,,,,,no_previous_day
ADV,2026-03-09 10:51:00,,,,,,,,,,no_previous_day
BNAI,2026-03-09 13:28:00,,,,,,,,,,no_previous_day
AZI,2026-04-27 14:30:00+00:00,,1.3600000143051147,,,,,,0.0,,low_vpin
AZI,2026-03-09 21:19:00,,,,,,,,,,no_previous_day
BGLC,2026-03-11 08:45:00,,,,,,,,,,no_previous_day
BJDX,2026-03-12 06:30:00,,,,,,,,,,no_previous_day
BKTI,2026-03-12 07:05:00,,,,,,,,,,no_previous_day
BENF,2026-03-12 07:30:00,,,,,,,,,,no_previous_day
AXIL,2026-03-12 08:00:00,,,,,,,,,,no_previous_day
CETX,2026-03-12 08:00:00,,,,,,,,,,no_previous_day
BNRG,2026-03-12 08:07:00,,,,,,,,,,no_previous_day
BKTI,2026-03-12 12:49:00,,,,,,,,,,no_previous_day
BTTC,2026-03-13 10:00:00,,,,,,,,,,no_previous_day
AEMD,2026-03-13 12:02:00,,,,,,,,,,no_previous_day
CIIT,2026-04-27 15:00:00+00:00,,1.440000057220459,,,,,,0.0,,low_vpin
CHR,2026-04-27 14:30:00+00:00,,1.659999966621399,1.6699999570846558,2.880000114440918,0.009999990463256836,0.6024090761646119,0.8196712501330111,1.0,volume_divergence,completed
BKTI,2026-04-27 14:30:00+00:00,,94.52999877929688,94.19499969482422,97.80999755859375,-0.33499908447265625,-0.354383887441692,-10.213390522799804,1.0,momentum_reversal,completed
AHMA,2026-03-18 06:00:00,,,,,,,,,,no_previous_day
