ticker,entry_price,peak_price,exit_price,exit_bar,peak_capture,gain_pct,total_bars
BAOS,2.6700000762939453,3.819999933242798,2.6748900175094605,40,0.4252123325031606,0.1831438605163876,133
BAOS,2.6700000762939453,3.819999933242798,2.6748900175094605,40,0.4252123325031606,0.1831438605163876,133
BAOS,2.6700000762939453,3.819999933242798,2.6748900175094605,40,0.4252123325031606,0.1831438605163876,133
CCTG,0.6150000095367432,4.5,0.5579099893569947,10,-1.469498592532582,-9.28292996657875,378
BGI,0.6899999976158142,0.7099999785423279,0.703499972820282,9,67.49994039529838,1.9565181523354784,9
AIOS,7.409999847412109,33.86989974975586,8.536950302124025,12,4.259088125318618,15.208508473930598,20
CLWT,1.2649999856948853,2.25,1.1384999871253967,13,-12.842639262165918,-10.000000000000004,189
CHNR,4.070000171661377,5.329999923706055,4.4909101009368895,10,33.4055565163784,10.341766867879437,11
BGI,0.6899999976158142,0.7099999785423279,0.703499972820282,9,67.49994039529838,1.9565181523354784,9
CHNR,4.070000171661377,5.329999923706055,4.4909101009368895,10,33.4055565163784,10.341766867879437,11
CHNR,4.070000171661377,5.329999923706055,4.4909101009368895,10,33.4055565163784,10.341766867879437,11
BGI,0.6899999976158142,0.7099999785423279,0.703499972820282,9,67.49994039529838,1.9565181523354784,9
CCTG,0.6150000095367432,4.5,0.5579099893569947,10,-1.469498592532582,-9.28292996657875,378
BGI,0.6899999976158142,0.7099999785423279,0.703499972820282,9,67.49994039529838,1.9565181523354784,9
BGMS,0.9950000047683716,2.240000009536743,1.0349999785423278,27,3.2128492868076832,4.0200978474636235,209
BTOG,2.049999952316284,2.2625999450683594,2.2300000190734863,78,84.66607379761784,8.780491265564228,78
APWC,1.382699966430664,2.26990008354187,1.4759999871253968,40,10.516231783030532,6.747669267366783,163
CCTG,0.6150000095367432,4.5,0.5579099893569947,10,-1.469498592532582,-9.28292996657875,378
CIIT,1.440000057220459,3.4200000762939453,1.4400000214576723,38,-1.8062013327021237e-06,-2.4835267577029306e-06,245
ACCL,1.4019999504089355,2.1600000858306885,1.3904999613761901,104,-1.5171486778622785,-0.8202560227902352,165
AHMA,1.0700000524520874,5.400000095367432,1.071000051498413,111,0.023094665968001936,0.09345785021542485,573
BBGI,22.799999237060547,24.989999771118164,21.55319995880127,35,-56.93146000970225,-5.468418070087706,457
BQ,0.7599999904632568,1.2999999523162842,0.7780499875545502,154,3.3425922900724387,2.3749996470777655,550
BGMS,0.9950000047683716,2.240000009536743,1.0349999785423278,27,3.2128492868076832,4.0200978474636235,209
BCG,1.9199999570846558,2.5,2.44950008392334,99,91.29311856205655,27.578132222600754,99
ACCL,1.4019999504089355,2.1600000858306885,1.3904999613761901,104,-1.5171486778622785,-0.8202560227902352,165
AIHS,1.2200000286102295,1.5399999618530271,1.1498400449752808,36,-21.924999459832794,-5.750818195871017,170
CHR,1.659999966621399,2.880000114440918,1.7639100193977357,70,8.517216408707252,6.259641859380584,363
APWC,1.382699966430664,2.26990008354187,1.4759999871253968,40,10.516231783030532,6.747669267366783,163
CIIT,1.440000057220459,3.4200000762939453,1.4400000214576723,38,-1.8062013327021237e-06,-2.4835267577029306e-06,245
CCTG,0.6150000095367432,4.5,0.5579099893569947,10,-1.469498592532582,-9.28292996657875,378
CCTG,0.6150000095367432,4.5,0.5579099893569947,10,-1.469498592532582,-9.28292996657875,378
BQ,0.7599999904632568,1.2999999523162842,0.7780499875545502,154,3.3425922900724387,2.3749996470777655,550
CCTG,0.6150000095367432,4.5,0.5579099893569947,10,-1.469498592532582,-9.28292996657875,378
AGMH,0.8615000247955322,1.4500000476837158,0.7919999957084656,12,-11.809690124731196,-8.067327578262315,351
BYAH,1.1100000143051147,6.489999771118164,1.3047299981117249,56,3.6195165912416756,17.543241558290926,210
AIOS,7.409999847412109,33.86989974975586,8.536950302124025,12,4.259088125318618,15.208508473930598,20
AXIL,6.769999980926514,7.25,6.3,18,-97.91665880216527,-6.9423926477203874,112
BENF,3.434799909591675,3.869999885559082,3.2219999313354495,106,-48.89705652744848,-6.195411198829418,217
