ticker,entry_price,peak_price,exit_price,exit_bar,peak_capture,gain_pct,total_bars
BAOS,2.6700000762939453,3.819999933242798,2.6700000762939453,0,0.0,0.0,133
BAOS,2.6700000762939453,3.819999933242798,2.6700000762939453,0,0.0,0.0,133
BAOS,2.6700000762939453,3.819999933242798,2.6700000762939453,0,0.0,0.0,133
CCTG,0.6150000095367432,4.5,0.6044624596834183,8,-0.27123680512720844,-1.7134227138081572,378
BGI,0.6899999976158142,0.7099999785423279,0.6899999976158142,0,0.0,0.0,9
AIOS,7.409999847412109,33.86989974975586,7.409999847412109,0,0.0,0.0,20
CLWT,1.2649999856948853,2.25,1.2649999856948853,0,0.0,0.0,189
CHNR,4.070000171661377,5.329999923706055,4.070000171661377,0,0.0,0.0,11
BGI,0.6899999976158142,0.7099999785423279,0.6899999976158142,0,0.0,0.0,9
CHNR,4.070000171661377,5.329999923706055,4.070000171661377,0,0.0,0.0,11
CHNR,4.070000171661377,5.329999923706055,4.070000171661377,0,0.0,0.0,11
BGI,0.6899999976158142,0.7099999785423279,0.6899999976158142,0,0.0,0.0,9
CCTG,0.6150000095367432,4.5,0.6044624596834183,8,-0.27123680512720844,-1.7134227138081572,378
BGI,0.6899999976158142,0.7099999785423279,0.6899999976158142,0,0.0,0.0,9
BGMS,0.9950000047683716,2.240000009536743,0.9822499379515648,5,-1.0241017484316317,-1.2814137442918818,209
BTOG,2.049999952316284,2.2625999450683594,1.9720000624656677,11,-36.68856656151278,-3.804872764142496,78
APWC,1.382699966430664,2.26990008354187,1.382699966430664,0,0.0,0.0,163
CCTG,0.6150000095367432,4.5,0.6044624596834183,8,-0.27123680512720844,-1.7134227138081572,378
CIIT,1.440000057220459,3.4200000762939453,1.440000057220459,0,0.0,0.0,245
ACCL,1.4019999504089355,2.1600000858306885,1.3852500319480896,5,-2.2097513810503817,-1.194716052305161,165
AHMA,1.0700000524520874,5.400000095367432,1.0700000524520874,0,0.0,0.0,573
BBGI,22.799999237060547,24.989999771118164,21.781188011169434,5,-46.52104919826057,-4.468470438521216,457
BQ,0.7599999904632568,1.2999999523162842,0.7602499425411224,1,0.04628742509682444,0.03288843171080077,550
BGMS,0.9950000047683716,2.240000009536743,0.9822499379515648,5,-1.0241017484316317,-1.2814137442918818,209
BCG,1.9199999570846558,2.5,1.9004248976707458,5,-3.3750099940539235,-1.0195343672628434,99
ACCL,1.4019999504089355,2.1600000858306885,1.3852500319480896,5,-2.2097513810503817,-1.194716052305161,165
AIHS,1.2200000286102295,1.5399999618530271,1.216037541627884,12,-1.2382774403077994,-0.3247940073296123,170
CHR,1.659999966621399,2.880000114440918,1.6400000303983688,9,-1.6393388360465007,-1.204815459348231,363
APWC,1.382699966430664,2.26990008354187,1.382699966430664,0,0.0,0.0,163
CIIT,1.440000057220459,3.4200000762939453,1.440000057220459,0,0.0,0.0,245
CCTG,0.6150000095367432,4.5,0.6044624596834183,8,-0.27123680512720844,-1.7134227138081572,378
CCTG,0.6150000095367432,4.5,0.6044624596834183,8,-0.27123680512720844,-1.7134227138081572,378
BQ,0.7599999904632568,1.2999999523162842,0.7602499425411224,1,0.04628742509682444,0.03288843171080077,550
CCTG,0.6150000095367432,4.5,0.6044624596834183,8,-0.27123680512720844,-1.7134227138081572,378
AGMH,0.8615000247955322,1.4500000476837158,0.8339374884963036,9,-4.683523403101994,-3.199365700049787,351
BYAH,1.1100000143051147,6.489999771118164,1.1100000143051147,0,0.0,0.0,210
AIOS,7.409999847412109,33.86989974975586,7.409999847412109,0,0.0,0.0,20
AXIL,6.769999980926514,7.25,6.769999980926514,0,0.0,0.0,112
BENF,3.434799909591675,3.869999885559082,3.419000267982483,2,-3.630432555532851,-0.4599872488953844,217
AMBO,2.299999952316284,2.880000114440918,2.299999952316284,0,0.0,0.0,161
CETX,10.850000381469727,11.549999237060549,10.812124609947205,9,-5.410833349227918,-0.34908543954715854,78
BENF,3.434799909591675,3.869999885559082,3.419000267982483,2,-3.630432555532851,-0.4599872488953844,217
BELFA,237.4949951171875,276.2049865722656,234.81500244140625,3,-6.92325824688261,-1.1284417486182634,129
AZI,1.3600000143051147,6.989999771118164,1.3600000143051147,0,0.0,0.0,323
CIIT,1.440000057220459,3.4200000762939453,1.440000057220459,0,0.0,0.0,245
CHR,1.659999966621399,2.880000114440918,1.6400000303983688,9,-1.6393388360465007,-1.204815459348231,363
BKTI,94.52999877929688,97.80999755859376,93.90187549591064,6,-19.150107230249546,-0.6644697889531725,55
AZI,1.3600000143051147,6.989999771118164,1.3600000143051147,0,0.0,0.0,323
BTBD,1.809999942779541,2.309999942779541,1.809999942779541,0,0.0,0.0,37
BNRG,3.0450000762939453,3.4000000953674316,3.0450000762939453,0,0.0,0.0,103
BGMS,0.9950000047683716,2.240000009536743,0.9822499379515648,5,-1.0241017484316317,-1.2814137442918818,209
ARTL,4.010000228881836,4.119999885559082,4.099999904632568,1,81.81814241002921,2.2443808133105336,1
ANNA,3.809999942779541,4.099899768829346,3.912375271320343,8,35.31403586396563,2.68701653748885,49
BKTI,94.52999877929688,97.80999755859376,93.90187549591064,6,-19.150107230249546,-0.6644697889531725,55
BCG,1.9199999570846558,2.5,1.9004248976707458,5,-3.3750099940539235,-1.0195343672628434,99
AIOS,7.409999847412109,33.86989974975586,7.409999847412109,0,0.0,0.0,20
BBGI,22.799999237060547,24.989999771118164,21.781188011169434,5,-46.52104919826057,-4.468470438521216,457
BBGI,22.799999237060547,24.989999771118164,21.781188011169434,5,-46.52104919826057,-4.468470438521216,457
BCG,1.9199999570846558,2.5,1.9004248976707458,5,-3.3750099940539235,-1.0195343672628434,99
BQ,0.7599999904632568,1.2999999523162842,0.7602499425411224,1,0.04628742509682444,0.03288843171080077,550
BELFA,237.4949951171875,276.2049865722656,234.81500244140625,3,-6.92325824688261,-1.1284417486182634,129
ACXP,2.0,2.2999000549316406,2.0100001096725464,23,3.3344807738784232,0.5000054836273193,68
CABO,100.99500274658203,104.5500030517578,103.9000015258789,3,81.71585175583397,2.8763787319122467,3
AMCI,6.920000076293945,7.21999979019165,6.911062479019165,6,-2.979201932781791,-0.12915602855841105,8
BIYA,0.7570000290870667,2.380000114440918,1.611249953508377,10,52.634003665814,112.84674922027757,45
BBGI,22.540000915527344,24.989999771118164,21.663082122802734,3,-35.792620503618124,-3.8905002533541073,425
ACXP,2.049999952316284,2.2200000286102295,1.9735000133514404,3,-44.99994390153598,-3.731704426549223,22
APWC,1.5800000429153442,2.26990008354187,1.5637499392032623,2,-2.3554287223007755,-1.0284875487786669,153
BELFA,227.5,276.2049865722656,227.5,0,0.0,0.0,94
BKTI,91.22000122070312,97.80999755859376,91.22000122070312,0,0.0,0.0,17
BIYA,1.8849999904632568,2.0,2.199899911880493,1,273.8259959157864,16.70556620744845,1
ALGS,6.050000190734863,6.849999904632568,6.003937304019928,8,-5.757862898539149,-0.7613700043427647,175
AHMA,1.1309000253677368,5.400000095367432,1.1188124418258667,13,-0.28314125561996917,-1.068846341031744,512
CABO,92.63999938964844,95.55999755859376,92.71750259399414,1,2.6542209912993364,0.08366062700380729,5
AHMA,1.1309000253677368,5.400000095367432,1.1188124418258667,13,-0.28314125561996917,-1.068846341031744,512
