ticker,entry_price,known_peak,window_peak,exit_price,exit_bar,peak_bar,exited_before_peak,peak_capture,gain_pct,total_fwd_bars
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.593500018119812,9,56,True,-6.652179799143725,-2.8651706362614826,64
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.593500018119812,9,56,True,-6.652179799143725,-2.8651706362614826,64
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.593500018119812,9,56,True,-6.652179799143725,-2.8651706362614826,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.5889049887657165,10,51,True,-0.6716865079815617,-4.243092742499805,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6683249741792678,11,35,True,-108.37522053739622,-3.1413077552813022,64
AIOS,7.409999847412109,33.86989974975586,33.86989974975586,9.011225318908691,10,20,True,6.051517494042936,21.608981166926725,64
CLWT,1.2649999856948853,2.25,1.335800051689148,1.2017499864101409,3,46,True,-6.421319631082969,-5.000000000000011,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.740405106544494,10,11,True,53.20675133429277,16.471865027206064,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6683249741792678,11,35,True,-108.37522053739622,-3.1413077552813022,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.740405106544494,10,11,True,53.20675133429277,16.471865027206064,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.740405106544494,10,11,True,53.20675133429277,16.471865027206064,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6683249741792678,11,35,True,-108.37522053739622,-3.1413077552813022,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.5889049887657165,10,51,True,-0.6716865079815617,-4.243092742499805,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6683249741792678,11,35,True,-108.37522053739622,-3.1413077552813022,64
BGMS,0.9950000047683716,2.240000009536743,1.149999976158142,0.945250004529953,13,27,True,-3.9959839395883705,-5.0,64
BTOG,2.049999952316284,2.2625999450683594,2.180000066757202,1.966499936580658,11,49,True,-39.275643735792755,-4.073171594042236,64
APWC,1.382699966430664,2.26990008354187,1.6399999856948853,1.4439999818801879,1,9,True,6.909378647189712,4.433356254991831,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.5889049887657165,10,51,True,-0.6716865079815617,-4.243092742499805,64
CIIT,1.440000057220459,3.4200000762939453,1.600000023841858,1.406000018119812,8,16,True,-1.7171736754102065,-2.3611137326115874,64
ACCL,1.4019999504089355,2.1600000858306885,1.5449999570846558,1.4240499556064605,22,42,True,2.9089711422355236,1.5727536360535126,64
AHMA,1.0700000524520874,5.400000095367432,1.179900050163269,1.035500031709671,19,53,True,-0.7967672147917098,-3.224300845906853,64
BBGI,22.799999237060547,24.989999771118164,23.947999954223633,21.848575782775878,2,20,True,-43.44398275199861,-4.172910026848445,64
BQ,0.7599999904632568,1.2999999523162842,0.7955999970436096,0.7558199971914291,35,3,False,-0.7740728827987206,-0.5499991216157532,64
BGMS,0.9950000047683716,2.240000009536743,1.149999976158142,0.945250004529953,13,27,True,-3.9959839395883705,-5.0,64
BCG,1.9199999570846558,2.5,2.0899999141693115,1.859434950351715,20,44,True,-10.442241767520146,-3.154427504514285,64
ACCL,1.4019999504089355,2.1600000858306885,1.5449999570846558,1.4240499556064605,22,42,True,2.9089711422355236,1.5727536360535126,64
AIHS,1.2200000286102295,1.5399999618530271,1.2776000499725342,1.2137200474739074,12,8,False,-1.9624945145089203,-0.5147525400860842,64
CHR,1.659999966621399,2.880000114440918,1.9599000215530396,1.605500054359436,21,36,True,-4.467205381849297,-3.2831273107123438,64
APWC,1.382699966430664,2.26990008354187,1.6399999856948853,1.4439999818801879,1,9,True,6.909378647189712,4.433356254991831,64
CIIT,1.440000057220459,3.4200000762939453,1.600000023841858,1.406000018119812,8,16,True,-1.7171736754102065,-2.3611137326115874,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.5889049887657165,10,51,True,-0.6716865079815617,-4.243092742499805,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.5889049887657165,10,51,True,-0.6716865079815617,-4.243092742499805,64
BQ,0.7599999904632568,1.2999999523162842,0.7955999970436096,0.7558199971914291,35,3,False,-0.7740728827987206,-0.5499991216157532,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.5889049887657165,10,51,True,-0.6716865079815617,-4.243092742499805,64
AGMH,0.8615000247955322,1.4500000476837158,0.9366999864578247,0.835999995470047,9,62,True,-4.333054942009797,-2.9599568881657765,64
BYAH,1.1100000143051147,6.489999771118164,1.4496999979019165,1.054500013589859,10,53,True,-1.031598572936224,-5.0,64
AIOS,7.409999847412109,33.86989974975586,33.86989974975586,9.011225318908691,10,20,True,6.051517494042936,21.608981166926725,64
AXIL,6.769999980926514,7.25,7.0,6.6499999999999995,15,13,False,-24.999995032946575,-1.7725255725937465,64
BENF,3.434799909591675,3.869999885559082,3.494999885559082,3.2775000452995298,13,62,True,-36.14427228367436,-4.579593234903884,64
AMBO,2.299999952316284,2.880000114440918,2.5999999046325684,2.28000009059906,7,25,True,-3.4482510563378836,-0.8695592231244464,64
CETX,10.850000381469727,11.549999237060549,11.25,10.6875,44,21,False,-23.214378162457265,-1.497699315727715,64
BENF,3.434799909591675,3.869999885559082,3.494999885559082,3.2775000452995298,13,62,True,-36.14427228367436,-4.579593234903884,64
BELFA,237.4949951171875,276.2049865722656,258.010009765625,226.63675231933593,7,63,True,-28.050233001090337,-4.571988050735038,64
AZI,1.3600000143051147,6.989999771118164,1.409999966621399,1.339499968290329,10,3,False,-0.36412161456983966,-1.50735630876152,64
CIIT,1.440000057220459,3.4200000762939453,1.600000023841858,1.406000018119812,8,16,True,-1.7171736754102065,-2.3611137326115874,64
CHR,1.659999966621399,2.880000114440918,1.9599000215530396,1.605500054359436,21,36,True,-4.467205381849297,-3.2831273107123438,64
BKTI,94.52999877929688,97.80999755859376,97.51000213623047,94.94999694824219,63,55,False,12.804826989458352,0.4443014644757372,64
AZI,1.3600000143051147,6.989999771118164,1.409999966621399,1.339499968290329,10,3,False,-0.36412161456983966,-1.50735630876152,64
BTBD,1.809999942779541,2.309999942779541,2.309999942779541,1.738500040769577,15,37,True,-14.299980401992807,-3.950270954161724,64
BNRG,3.0450000762939453,3.4000000953674316,3.1500000953674316,2.99250009059906,12,10,False,-14.78872757018575,-1.7241374180450866,64
BGMS,0.9950000047683716,2.240000009536743,1.149999976158142,0.945250004529953,13,27,True,-3.9959839395883705,-5.0,64
ARTL,4.010000228881836,4.119999885559082,4.119999885559082,3.9139998912811276,3,1,False,-87.27330657257083,-2.3940232449183045,64
ANNA,3.809999942779541,4.099899768829346,4.099899768829346,3.8558602094650265,32,52,True,15.819349500957172,1.2036815583789395,64
BNZI,9.055999755859375,9.107999801635742,9.234000205993652,8.772300195693969,7,0,False,-545.5755969629181,-3.1327249096031378,64
