ticker,status,div_composite,rsi_div_detected,rsi_score,rsi_delta,price_delta_pct,rsi_at_sw2,price_sw1,price_sw2,vol_div_detected,vol_score,vol_ratio,vol_sw1,vol_sw2,last_close,bars,sw1_time,sw2_time
VMAR,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
SKYQ,NO_DIV,0.0,False,0.0,-12.26,-1.03,44.7,2.9099,2.88,False,0.0,2.3222,32456.0,75370.0,2.97,78,2026-07-01 17:30,2026-07-01 19:45
BTCT,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
PFSA,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
NCRA,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
AHMA,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
YYGH,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
IQST,NO_DIV,0.0,False,0.0,-4.22,-3.6,45.07,1.11,1.07,False,0.0,1.411,2107.0,2973.0,1.11,78,2026-07-01 16:20,2026-07-01 19:45
WCT,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
PSIG,NO_DIV,0.0,False,0.0,-0.45,-1.56,34.96,1.28,1.26,False,0.0,15.9077,672.0,10690.0,1.25,78,2026-07-01 18:00,2026-07-01 19:40
CTNT,NO_DIV,0.0,False,0.0,-3.66,-0.06,46.0,1.8111,1.81,False,0.0,2.1394,1765.0,3776.0,1.8,78,2026-07-01 18:00,2026-07-01 18:45
CALC,NO_DIV,0.0,False,0.0,-41.59,-10.29,23.03,1.1123,0.9978,False,0.0,3.4851,3045.0,10612.0,1.04,78,2026-07-01 15:10,2026-07-01 19:00
TOYO,NO_DIV,0.0,False,0.0,-26.01,-1.98,32.25,7.08,6.94,False,0.0,3.2187,6766.0,21778.0,6.875,78,2026-07-01 17:30,2026-07-01 19:00
ARQQ,NO_DIV,0.0,False,0.0,-25.36,-0.52,37.61,28.9,28.75,False,0.0,3.7275,3677.0,13706.0,28.85,78,2026-07-01 14:55,2026-07-01 19:40
RGNT,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
GLMD,ERROR: division by zero,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
MBRX,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
ENGS,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
HPAI,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
AZI,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
CHAI,NO_LOWER_LOW,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,,
