ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,bars_to_exit,peak_capture,signal_valid,hmm_fit_success,exit_reason,status
BQ,2026-04-27 14:30:00+00:00,,0.7599999904632568,0.7599999904632568,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
AHMA,2025-11-05 05:00:00,,,,,,,,,False,False,,no_previous_day
CHR,2025-11-05 12:42:00,,,,,,,,,False,False,,no_previous_day
BBGI,2025-11-10 07:00:00,,,,,,,,,False,False,,no_previous_day
ANNA,2025-11-12 07:00:00,,,,,,,,,False,False,,no_previous_day
BGMS,2026-04-27 14:30:00+00:00,,0.9950000047683716,0.9950000047683716,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BCG,2026-04-27 14:30:00+00:00,,1.9199999570846558,1.9199999570846558,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
APWC,2025-11-14 08:00:00,,,,,,,,,False,False,,no_previous_day
AIHS,2025-11-14 09:15:00,,,,,,,,,False,False,,no_previous_day
CHR,2025-11-18 08:00:00,,,,,,,,,False,False,,no_previous_day
ACCL,2026-04-27 14:30:00+00:00,,1.4019999504089355,1.4019999504089355,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
AIHS,2026-04-27 18:15:00+00:00,,1.2200000286102295,1.2200000286102295,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CHR,2026-04-27 14:30:00+00:00,,1.659999966621399,1.659999966621399,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
ABTS,2025-11-24 08:00:00,,,,,,,,,False,False,,no_previous_day
BCG,2025-11-25 12:30:00,,,,,,,,,False,False,,no_previous_day
CDTG,2025-11-28 09:00:00,,,,,,,,,False,False,,no_previous_day
APWC,2026-04-27 14:30:00+00:00,,1.382699966430664,1.382699966430664,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CIIT,2026-04-27 15:00:00+00:00,,1.440000057220459,1.440000057220459,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
APWC,2025-12-18 08:00:00,,,,,,,,,False,False,,no_previous_day
CHR,2025-12-19 07:00:00,,,,,,,,,False,False,,no_previous_day
CCTG,2026-04-27 14:30:00+00:00,,0.6150000095367432,0.6150000095367432,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CDTG,2025-12-23 09:03:00,,,,,,,,,False,False,,no_previous_day
CCTG,2026-04-27 14:30:00+00:00,,0.6150000095367432,0.6150000095367432,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CCHH,2025-12-31 01:24:00,,,,,,,,,False,False,,no_previous_day
CCHH,2025-12-31 01:27:00,,,,,,,,,False,False,,no_previous_day
CCHH,2025-12-31 01:31:00,,,,,,,,,False,False,,no_previous_day
CHNR,2025-12-31 08:00:00,,,,,,,,,False,False,,no_previous_day
ADVB,2025-12-31 10:25:00,,,,,,,,,False,False,,no_previous_day
BQ,2026-04-27 14:30:00+00:00,,0.7599999904632568,0.7599999904632568,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CDTG,2026-01-06 08:00:00,,,,,,,,,False,False,,no_previous_day
BTBD,2026-01-06 11:00:00,,,,,,,,,False,False,,no_previous_day
CDTG,2026-01-07 08:22:00,,,,,,,,,False,False,,no_previous_day
AMCI,2026-01-09 07:30:00,,,,,,,,,False,False,,no_previous_day
BTOG,2026-01-15 11:30:00,,,,,,,,,False,False,,no_previous_day
ANNA,2026-01-20 07:00:00,,,,,,,,,False,False,,no_previous_day
AGMH,2026-01-20 08:00:00,,,,,,,,,False,False,,no_previous_day
CCTG,2026-04-27 14:30:00+00:00,,0.6150000095367432,0.6150000095367432,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BENF,2026-01-21 07:00:00,,,,,,,,,False,False,,no_previous_day
AMCI,2026-01-21 10:00:00,,,,,,,,,False,False,,no_previous_day
BH,2026-01-23 05:46:00,,,,,,,,,False,False,,no_previous_day
AGMH,2026-04-27 14:30:00+00:00,,0.8615000247955322,0.8615000247955322,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BJDX,2026-01-27 08:00:00,,,,,,,,,False,False,,no_previous_day
APWC,2026-01-28 09:00:00,,,,,,,,,False,False,,no_previous_day
BYAH,2026-04-27 14:30:00+00:00,,1.1100000143051147,1.1100000143051147,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
ATPC,2026-01-29 08:27:00,,,,,,,,,False,False,,no_previous_day
