Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Session,TradeDate,CumPV,CumVol,VWAP,EMA_fast,EMA_slow
2026-07-16 04:00:00-04:00,2.13,2.13,2.13,2.13,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.13,2.13
2026-07-16 04:53:00-04:00,2.2,2.2,2.2,2.2,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.144,2.1366666666666667
2026-07-16 05:53:00-04:00,2.2,2.2,2.2,2.2,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.1552000000000002,2.1426984126984125
2026-07-16 09:08:00-04:00,2.25,2.27,2.25,2.27,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.17816,2.154822373393802
2026-07-16 09:09:00-04:00,2.27,2.27,2.22,2.22,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.186528,2.161029766403916
2026-07-16 09:13:00-04:00,2.22,2.22,2.22,2.22,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.1932224000000002,2.1666459791273525
2026-07-16 09:16:00-04:00,2.25,2.25,2.25,2.25,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.20457792,2.1745844573057
2026-07-16 09:17:00-04:00,2.25,2.25,2.25,2.25,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.213662336,2.181766889943252
2026-07-16 09:23:00-04:00,2.21,2.21,2.21,2.21,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.2129298688000003,2.1844557575677044
2026-07-16 09:25:00-04:00,2.25,2.25,2.25,2.25,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.2203438950400005,2.1906980663707802
2026-07-16 09:28:00-04:00,2.21,2.21,2.14,2.14,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.2042751160320004,2.1858696790973724
2026-07-16 09:29:00-04:00,2.1398,2.1398,2.1398,2.1398,0,0.0,0.0,premarket,2026-07-16,0.0,0,,2.1913800928256006,2.1814820906119086
2026-07-16 09:30:00-04:00,2.119999885559082,2.119999885559082,2.119999885559082,2.119999885559082,5580,0.0,0.0,regular,2026-07-16,11829.599361419678,5580,2.119999885559082,2.177104051372297,2.1756266425116393
2026-07-16 09:31:00-04:00,2.1407999992370605,2.1477999687194824,2.140000104904175,2.140000104904175,1901,0.0,0.0,regular,2026-07-16,15902.682074546814,7481,2.1257428250964865,2.1696832620786726,2.172233638929976
2026-07-16 09:37:00-04:00,2.0999999046325684,2.109999895095825,2.0999999046325684,2.109999895095825,854,0.0,0.0,regular,2026-07-16,17701.775321006775,8335,2.12378828086464,2.1577465886821035,2.166306615707676
2026-07-16 09:39:00-04:00,2.059999942779541,2.059999942779541,2.059999942779541,2.059999942779541,1530,0.0,0.0,regular,2026-07-16,20853.575233459473,9865,2.113895107294422,2.1381972595015912,2.1561821706669013
2026-07-16 09:40:00-04:00,2.059999942779541,2.059999942779541,2.0399999618530273,2.0399999618530273,5521,0.0,0.0,regular,2026-07-16,32153.22165441513,15386,2.089771328117453,2.1185577999718785,2.1451171983989132
2026-07-16 09:43:00-04:00,2.0399999618530273,2.0399999618530273,2.0399999618530273,2.0399999618530273,200,0.0,0.0,regular,2026-07-16,32561.221646785736,15586,2.0891326605149323,2.1028462323481083,2.135106033013591
2026-07-16 09:44:00-04:00,2.0399999618530273,2.0399999618530273,2.0299999713897705,2.0399999618530273,1220,0.0,0.0,regular,2026-07-16,35045.95493745804,16806,2.085323987710225,2.090276978249092,2.12604831195068
2026-07-16 09:46:00-04:00,2.0399999618530273,2.0399999618530273,2.0399999618530273,2.0399999618530273,1191,0.0,0.0,regular,2026-07-16,37475.594892024994,17997,2.0823245480927373,2.080221574969879,2.117853230988999
2026-07-16 09:48:00-04:00,2.0399999618530273,2.0399999618530273,2.0399999618530273,2.0399999618530273,390,0.0,0.0,regular,2026-07-16,38271.194877147675,18387,2.0814268166175927,2.072177252346509,2.11043863392843
2026-07-16 09:50:00-04:00,2.0399999618530273,2.0399999618530273,2.0399999618530273,2.0399999618530273,2021,0.0,0.0,regular,2026-07-16,42394.03480005264,20408,2.07732432379717,2.065741794247813,2.1037301889688678
2026-07-16 09:51:00-04:00,2.099900007247925,2.149899959564209,2.099900007247925,2.149899959564209,6527,0.0,0.0,regular,2026-07-16,56317.64860653877,26935,2.0908724190287273,2.0825734273110923,2.108127309977948
2026-07-16 09:54:00-04:00,2.119999885559082,2.119999885559082,2.119999885559082,2.119999885559082,159,0.0,0.0,regular,2026-07-16,56654.72858834267,27094,2.0910433523415763,2.0900587189606905,2.109258031461865
2026-07-16 09:55:00-04:00,2.130000114440918,2.150099992752075,2.130000114440918,2.150099992752075,5843,0.0,0.0,regular,2026-07-16,69178.61498300235,32937,2.100331389713767,2.1020669737189674,2.113147742060933
2026-07-16 09:59:00-04:00,2.1500000953674316,2.1512999534606934,2.1500000953674316,2.1500000953674316,1600,0.0,0.0,regular,2026-07-16,72619.30839323997,34537,2.1026524710669707,2.1116535980486604,2.116657489994885
2026-07-16 10:00:00-04:00,2.15120005607605,2.190000057220459,2.15120005607605,2.190000057220459,2401,0.0,0.0,regular,2026-07-16,77846.44559637706,36938,2.107489457912639,2.12732288988302,2.123642496397321
2026-07-16 10:01:00-04:00,2.2100000381469727,2.359999895095825,2.2100000381469727,2.359999895095825,14142,0.0,0.0,regular,2026-07-16,110514.46478716533,51080,2.1635564758646306,2.173858290925581,2.1461527248447974
2026-07-16 10:03:00-04:00,2.380000114440918,2.450000047683716,2.380000114440918,2.450000047683716,3238,0.0,0.0,regular,2026-07-16,118372.01168028514,54318,2.1792409823683703,2.229086642277208,2.1750905651151706
