Symbol,SignalTimestamp,Close,Volume,RVOL,30m_pct,1h_pct,2h_pct,4h_pct,1d_pct
BNAI,2026-06-05 11:05:00-04:00,28.9,1056372,8.64,-13.91,-24.57,-17.79,-16.61,-36.74
BNAI,2026-07-08 09:30:00-04:00,15.09,22869,8.74,-0.07,1.39,0.73,-0.4,-5.9
BNRG,2026-06-25 10:25:00-04:00,0.91,99237,6.09,-4.24,-5.49,-7.43,-6.59,-12.36
BNRG,2026-07-08 14:10:00-04:00,0.8882,65495,7.15,0.35,-1.01,-3.33,-0.92,-0.41
BNRG,2026-07-17 12:10:00-04:00,0.8212,483890,16.63,5.93,5.31,-4.88,1.11,1.68
BNZI,2026-05-07 14:05:00-04:00,5.916,365704,6.31,1.42,12.37,-5.34,-2.97,2.77
BNZI,2026-06-15 11:35:00-04:00,3.385,727441,23.52,-9.75,-10.48,-2.81,-5.61,-11.96
BOXL,2026-06-26 09:35:00-04:00,4.66,70009,8.79,-8.8,-6.87,-5.58,-3.65,-1.5
BYAH,2026-06-29 09:45:00-04:00,1.3189,289008,16.62,-4.47,-9.39,-2.95,-6.74,-25.57
BYAH,2026-07-07 11:40:00-04:00,0.9401,3766833,6.75,-12.7,-23.08,-20.22,-22.78,-22.81
CACC,2026-06-08 09:30:00-04:00,573.945,13188,9.22,-1.21,-2.03,-1.79,-1.12,-0.85
CARL,2026-07-01 09:40:00-04:00,11.18,17383,5.08,-0.66,2.43,6.44,3.35,1.61
CCHH,2026-06-16 10:15:00-04:00,5.483,84872,5.85,-0.38,6.97,6.53,6.24,-18.6
CCHH,2026-07-16 13:05:00-04:00,1.645,34132,6.8,-1.02,-1.82,-2.13,-5.17,-5.17
CCHH,2026-07-21 09:30:00-04:00,1.56,23119,6.9,0.0,1.28,-1.28,-5.77,-4.49
CCM,2026-05-04 11:00:00-04:00,6.4,71821,17.49,-15.62,-21.02,-25.78,-23.44,-24.22
CCTG,2026-06-08 15:10:00-04:00,0.5799,173973,7.42,-24.04,734.63,355.25,243.16,201.78
CCTG,2026-07-02 10:05:00-04:00,0.9868,4137814,7.47,-12.85,-16.9,-9.44,-11.62,13.5
CCTG,2026-07-06 15:00:00-04:00,1.19,927151,68.68,-6.72,-12.61,-13.45,-17.65,-19.92
CDLX,2026-05-21 13:55:00-04:00,7.402,112092,30.28,-2.01,-3.27,-0.91,-4.46,-6.3
CDTG,2026-06-04 11:35:00-04:00,15.12,135159,20.06,-45.7,-63.62,-70.17,-69.78,-77.98
CGTL,2026-05-28 13:15:00-04:00,5.52,581370,22.18,41.14,69.1,39.7,32.34,35.87
CGTL,2026-06-08 13:05:00-04:00,5.85,247825,20.21,6.62,7.1,-1.28,15.38,7.41
CGTL,2026-06-23 10:10:00-04:00,6.4305,3585194,22.29,11.45,0.7,-6.06,-2.96,-3.34
CGTL,2026-06-29 15:40:00-04:00,6.3015,168875,16.0,-7.05,-9.05,-10.66,-9.57,-9.9
CHAI,2026-06-11 12:45:00-04:00,1.56,2052458,9.21,-7.04,0.0,-5.13,-11.54,-12.18
CHAI,2026-06-30 09:40:00-04:00,0.7866,203349,8.4,-10.42,-9.17,-1.69,-4.92,-10.88
CHSN,2026-05-13 15:55:00-04:00,1.53,58852,5.96,-8.5,-9.8,-10.39,-8.82,-9.15
CHSN,2026-06-01 10:30:00-04:00,1.2707,62057,6.39,-7.89,-7.92,-8.71,-7.14,-11.86
CIIT,2026-06-12 11:20:00-04:00,23.2,1621672,58.43,-13.79,-9.87,-14.22,-20.69,-36.64
CISS,2026-06-11 12:10:00-04:00,2.27,41416,6.89,-1.32,-3.08,-1.76,4.84,-10.13
CLIK,2026-06-08 12:15:00-04:00,2.88,4841957,23.0,-1.38,-20.49,-30.55,-32.99,-44.79
CLIK,2026-07-16 09:45:00-04:00,1.73,126372,32.7,-2.31,-3.76,3.47,2.89,-12.72
CLIK,2026-07-16 11:40:00-04:00,1.9599,1323531,12.47,-11.68,-9.18,-10.16,-9.94,-22.96
CLRO,2026-06-23 13:00:00-04:00,3.855,52245,11.21,-15.43,-21.66,-22.57,-25.81,-28.92
CLWT,2026-06-30 12:15:00-04:00,1.6027,34746,5.53,-3.29,-3.29,5.45,10.75,13.56
CLWT,2026-07-21 11:15:00-04:00,1.66,10299,5.07,-1.2,-6.02,-2.4,0.0,-1.81
CNET,2026-07-24 15:20:00-04:00,1.4601,2360135,38.86,-47.2,,,,
CNEY,2026-05-26 15:50:00-04:00,2.175,180307,12.11,-4.83,-0.92,-1.38,17.24,-13.33
CNEY,2026-05-27 12:50:00-04:00,2.25,62391,7.06,11.11,14.67,-12.51,-22.22,-28.0
CNEY,2026-06-25 14:05:00-04:00,0.8207,374901,17.01,-14.16,-27.12,-33.96,-40.5,-51.85
CNEY,2026-07-14 12:20:00-04:00,0.5557,986927,18.18,9.77,37.66,13.57,18.77,75.35
CNEY,2026-07-15 13:30:00-04:00,0.9478,1919649,11.69,1.8,-7.79,2.42,-19.95,-29.54
CNSP,2026-05-13 15:30:00-04:00,5.52,15249,6.04,-5.09,-4.26,-6.16,-9.24,-7.61
CODX,2026-05-28 09:40:00-04:00,10.2301,639690,7.02,12.22,13.49,18.67,19.35,-18.13
CODX,2026-07-01 09:40:00-04:00,3.97,89081,6.11,-16.12,-15.4,-21.41,-20.65,-24.06
CPIX,2026-05-05 15:45:00-04:00,4.6525,62186,10.85,-0.38,-2.1,-5.21,-4.78,-5.53
CPIX,2026-05-15 10:40:00-04:00,5.07,18696,7.24,2.62,1.97,1.18,6.51,0.39
CPOP,2026-07-06 09:30:00-04:00,0.934,706280,39.76,-3.64,-0.96,-1.71,-2.25,8.78
CRAI,2026-06-01 09:50:00-04:00,146.9,24726,6.52,-3.49,-2.2,-1.24,-2.06,-2.21
CRAI,2026-06-23 09:30:00-04:00,147.799,19336,8.68,-3.82,-3.24,-2.57,-2.47,-2.31
CRE,2026-05-04 15:05:00-04:00,4.57,1207395,5.91,-14.99,-24.29,-23.39,-14.66,-15.75
CRE,2026-06-15 09:40:00-04:00,3.5999,118512,19.43,-0.41,-0.31,-1.67,-11.39,-8.05
CRIS,2026-06-17 15:35:00-04:00,9.284,144201,24.87,-13.57,-11.55,-12.13,-11.61,-6.25
CRIS,2026-06-26 12:50:00-04:00,5.95,6915686,41.01,11.6,12.71,-6.69,31.63,46.96
CRIS,2026-07-07 15:10:00-04:00,5.42,24841,5.19,-1.66,-7.66,-12.66,-8.3,-8.86
CRMT,2026-07-14 09:35:00-04:00,3.5301,221647,13.08,-4.54,-8.22,-14.16,12.46,22.09
CRMT,2026-07-14 12:35:00-04:00,3.85,113568,8.73,4.68,3.12,6.88,9.09,11.95
CTNT,2026-04-30 14:20:00-04:00,3.8614,192508,14.62,-19.72,-22.57,-21.01,-21.27,-22.83
CTNT,2026-05-08 15:00:00-04:00,3.1187,165677,6.55,-6.05,-11.5,-13.43,-12.77,-14.38
CTNT,2026-06-09 13:50:00-04:00,2.1079,637674,28.92,-12.0,-5.12,-8.91,-5.39,-9.39
CTNT,2026-07-24 10:10:00-04:00,1.6709,103982,6.05,5.33,8.33,1.92,3.96,
CTRM,2026-05-18 10:00:00-04:00,2.08,22132,5.7,-7.14,-4.33,-1.05,-6.01,-7.21
CUE,2026-05-04 13:35:00-04:00,33.72,127932,8.9,-9.58,-9.31,-7.74,-7.18,4.0
CUE,2026-06-18 09:30:00-04:00,27.77,101330,102.63,0.35,-3.55,-3.17,6.3,11.34
CUPR,2026-05-13 10:35:00-04:00,2.7104,1319560,9.68,-23.55,-23.05,-30.61,-31.11,-20.57
CUPR,2026-06-30 09:30:00-04:00,5.61,6108878,3472.72,-0.91,5.35,14.31,30.3,4.28
CVKD,2026-05-22 09:40:00-04:00,5.36,13926,6.48,0.86,-3.92,-4.48,-0.19,-2.05
DAIC,2026-05-29 09:35:00-04:00,3.9025,220504,9.88,-6.15,-8.46,-8.46,-9.87,15.7
DAIC,2026-07-21 14:45:00-04:00,1.43,68250,8.6,-4.2,-6.99,-8.39,-4.55,-2.8
DAIO,2026-05-28 12:20:00-04:00,3.84,46168,6.43,1.56,1.56,0.78,14.57,9.37
DAIO,2026-06-01 14:30:00-04:00,4.26,49860,11.2,-4.23,0.23,-2.0,-6.92,-3.29
DBGI,2026-06-03 11:30:00-04:00,45.4,4290705,6.37,-17.38,-18.59,-11.01,1.35,-33.73
DBGI,2026-06-09 09:30:00-04:00,39.92,627087,11.54,9.24,8.12,1.7,2.2,24.55
DBGI,2026-06-23 14:55:00-04:00,32.804,191577,5.94,-3.12,-6.76,-4.74,-2.45,-10.23
DFNS,2026-05-22 09:35:00-04:00,45.025,105700,7.54,-8.38,-6.83,-4.83,4.5,-5.58
DFNS,2026-06-04 15:15:00-04:00,42.6375,391018,6.32,6.98,-6.65,-8.65,-10.91,-8.85
DFNS,2026-07-21 09:35:00-04:00,4.3901,19930,5.28,4.1,60.13,78.36,51.25,6.38
DFNS,2026-07-21 10:45:00-04:00,6.52,176208,5.05,9.05,15.95,-7.52,3.99,-28.37
DFNS,2026-07-21 11:15:00-04:00,7.09,1070438,9.39,10.44,-16.36,-18.25,-3.39,-34.13
DFNS,2026-07-24 10:30:00-04:00,4.7,86790,6.44,-4.04,-7.55,-10.0,-8.94,
DOGZ,2026-05-15 14:20:00-04:00,1.25,21453,6.4,-2.8,-4.8,-11.19,-13.6,-10.4
DSGR,2026-07-16 09:40:00-04:00,34.4,153538,11.48,0.0,0.04,0.06,0.2,0.28
DSS,2026-06-09 13:35:00-04:00,0.6586,5091737,246.81,-13.69,-20.27,-24.07,-10.54,1.52
DSY,2026-05-22 11:45:00-04:00,2.3,25411,15.9,-13.04,-11.74,-11.74,-19.57,-17.83
DSY,2026-07-06 11:55:00-04:00,4.47,46701,5.83,1.01,2.01,3.13,1.39,0.67
DXST,2026-06-09 10:30:00-04:00,6.75,115961,8.67,-38.67,-35.41,-49.48,-47.7,-58.83
EDBL,2026-06-02 14:55:00-04:00,11.007,90386,6.53,-1.92,-2.74,-5.31,-18.27,-17.46
EDBL,2026-06-08 11:20:00-04:00,10.5795,732601,6.91,13.31,2.51,-3.49,-1.23,-7.44
