Symbol,SignalTimestamp,Close,Volume,RVOL,30m_pct,1h_pct,2h_pct,4h_pct,1d_pct
ICCM,2026-06-24 09:40:00-04:00,6.91,191093,5.62,1.52,15.12,11.65,21.06,0.72
IFBD,2026-06-08 14:10:00-04:00,1.77,464883,17.3,-44.92,-38.62,-29.94,-18.08,-41.24
IMCC,2026-05-22 09:30:00-04:00,0.248,205088,96.79,1.05,2.02,-3.35,-5.65,12.94
IMCC,2026-06-30 09:55:00-04:00,0.16,123944,8.06,0.0,1.38,3.44,5.56,-2.37
IMRN,2026-05-27 15:45:00-04:00,1.15,99346,5.81,-6.52,-7.83,0.43,4.31,6.96
INDO,2026-07-13 09:35:00-04:00,2.85,27865,5.82,0.35,2.28,2.42,3.33,3.51
INDP,2026-06-04 11:30:00-04:00,2.86,19889,5.13,3.32,8.04,-3.76,68.53,27.97
INDP,2026-06-04 12:45:00-04:00,3.25,1858251,6.06,-11.38,-6.77,14.32,2.46,12.62
INDP,2026-06-11 09:35:00-04:00,2.895,91724,10.59,8.81,14.34,14.34,11.78,23.83
INEO,2026-06-09 11:00:00-04:00,0.6599,36477,5.18,-5.27,-7.55,-7.86,1.52,4.26
INEO,2026-07-20 09:40:00-04:00,0.7039,52679,24.13,-0.04,4.05,7.97,-3.4,-1.96
INLF,2026-07-06 13:50:00-04:00,8.885,379031,16.79,-17.05,-26.84,-28.76,-32.92,-40.12
INTG,2026-06-29 10:20:00-04:00,45.44,13290,5.54,2.86,4.86,10.01,7.26,8.54
IPW,2026-05-01 12:10:00-04:00,7.3936,74195,5.03,2.36,4.13,2.8,-4.72,-3.09
IPW,2026-07-02 09:45:00-04:00,2.505,85552,5.06,-12.73,-13.37,-12.97,-19.76,-24.15
IPW,2026-07-21 12:10:00-04:00,1.16,2365867,5.7,-19.35,-26.38,-21.16,-24.22,-23.75
IPW,2026-07-23 12:10:00-04:00,1.0002,965901,10.89,-9.53,-14.78,-13.75,-22.22,-33.4
IVF,2026-06-04 10:05:00-04:00,2.0299,71560,5.28,-1.47,-13.3,-12.56,-20.69,-23.64
JYD,2026-06-22 13:55:00-04:00,0.8015,501735,44.42,3.54,-3.81,2.83,9.79,16.58
JZXN,2026-05-29 11:50:00-04:00,1.16,23603,5.93,-0.29,-0.86,1.72,4.34,14.66
JZXN,2026-06-01 10:25:00-04:00,2.2209,2358574,20.43,-42.42,-44.62,-44.62,-39.89,-40.56
JZXN,2026-06-08 14:25:00-04:00,1.52,410610,6.05,-3.39,-17.43,59.91,17.76,-8.55
JZXN,2026-06-11 09:40:00-04:00,2.005,763988,9.46,-8.79,-24.19,-24.69,-28.18,-24.69
JZXN,2026-07-21 14:45:00-04:00,1.56,2571561,48.42,-13.71,13.14,-11.97,-18.35,-18.91
KIDZ,2026-06-09 09:30:00-04:00,2.42,32245,8.54,-6.2,-7.64,-5.37,-0.83,-26.86
KIDZ,2026-07-08 10:25:00-04:00,0.8051,1630892,8.04,-1.25,-3.43,3.09,0.45,-15.54
KITT,2026-05-19 12:55:00-04:00,1.815,35129,8.47,0.28,0.0,-3.58,-9.09,-8.82
KITT,2026-05-26 09:30:00-04:00,1.725,39160,16.73,2.61,1.95,-2.37,-3.77,-3.19
KLRS,2026-07-17 11:25:00-04:00,6.09,974532,8.38,-16.81,-11.33,-11.33,-23.24,-34.81
KMRK,2026-06-10 11:10:00-04:00,3.49,124085,20.83,31.52,-40.26,-42.69,-45.27,-59.03
KMRK,2026-06-22 13:05:00-04:00,1.3401,1651953,119.55,-18.66,-18.8,-20.53,-18.66,-19.41
KORE,2026-06-26 15:55:00-04:00,9.74,63660,10.61,-3.85,-3.95,-4.26,-4.31,-4.31
KRRO,2026-06-12 10:00:00-04:00,12.7899,40389,8.85,-5.36,-4.57,-10.52,-10.98,-8.99
KUST,2026-07-14 11:30:00-04:00,1.0626,98193,15.53,1.64,-1.66,-4.95,-6.11,24.36
KUST,2026-07-22 09:35:00-04:00,1.3305,1358218,8.44,23.28,1.47,-3.42,4.47,2.22
KXIN,2026-05-22 14:10:00-04:00,6.14,71085,11.32,0.81,1.63,0.65,4.24,4.07
LABT,2026-06-23 12:25:00-04:00,4.5357,50532,5.08,-6.96,-11.37,-15.78,-16.22,-18.2
LABT,2026-07-01 15:20:00-04:00,3.39,21688,8.18,-2.65,-6.19,-9.14,-15.63,-19.17
LBGJ,2026-05-06 10:50:00-04:00,1.07,1292892,10.08,-13.08,-13.55,-14.21,-5.61,-14.95
LBGJ,2026-05-14 10:40:00-04:00,1.0696,47017,5.93,-9.3,-8.05,-8.29,-7.88,-9.89
LBGJ,2026-06-12 14:35:00-04:00,1.275,161348,39.97,-0.39,-7.45,-6.61,-3.14,-2.75
LEDS,2026-07-14 10:20:00-04:00,2.57,5435601,16.21,-28.41,-10.89,-21.51,-19.26,-0.78
LEDS,2026-07-22 09:35:00-04:00,2.5992,37476,9.84,-2.67,-10.74,-4.97,-8.82,-7.28
LEGH,2026-06-16 15:55:00-04:00,25.63,24129,7.02,0.59,1.01,-0.86,-3.86,-3.71
LGCL,2026-06-30 11:55:00-04:00,1.9667,3743204,6.04,6.26,5.76,-10.26,-2.37,-6.7
LGHL,2026-06-16 13:30:00-04:00,4.8267,51951,5.05,5.03,1.16,8.15,17.45,9.71
LGHL,2026-07-14 10:00:00-04:00,5.0832,4209884,12.79,-42.16,-50.82,-48.06,-50.43,-63.41
LGPS,2026-06-04 12:50:00-04:00,0.7425,685565,23.36,-7.61,-12.46,-19.19,-18.72,-2.58
LGPS,2026-07-06 15:50:00-04:00,1.02,514376,22.69,-18.4,-19.51,-13.91,-12.77,-15.42
LHAI,2026-05-12 12:20:00-04:00,1.14,223717,8.53,-13.46,-11.4,-2.46,-15.35,-10.53
LHAI,2026-06-29 13:25:00-04:00,0.7811,70625,8.76,3.14,1.25,-3.69,-11.39,-15.5
LHAI,2026-07-20 15:55:00-04:00,1.11,40248,9.17,-0.94,-1.8,-6.27,-6.31,-7.21
LHSW,2026-06-09 13:10:00-04:00,2.624,1365949,35.77,-4.76,-1.16,1.95,-0.73,9.7
LNAI,2026-05-27 15:55:00-04:00,2.67,53272,18.14,17.23,5.99,5.62,8.61,13.86
LOBO,2026-07-22 15:45:00-04:00,0.7656,43246,5.07,-0.4,-0.37,-4.65,,-1.33
LPA,2026-05-08 15:45:00-04:00,3.7,9552,5.36,-2.97,-7.57,-5.14,-2.58,-5.14
LUCY,2026-05-06 11:20:00-04:00,1.0699,46142,6.18,-0.15,-3.26,-0.93,-0.92,-0.93
LVO,2026-06-26 15:55:00-04:00,6.235,22810,12.9,6.5,6.58,7.46,6.5,6.66
LZMH,2026-05-04 15:55:00-04:00,2.022,402988,6.26,-7.72,-7.12,-6.53,-7.42,7.81
LZMH,2026-05-05 15:45:00-04:00,2.108,604716,14.9,-10.34,-9.87,-9.68,-9.58,-3.13
LZMH,2026-05-15 14:20:00-04:00,1.896,1237463,27.23,43.99,-5.8,-14.24,-14.77,-12.87
LZMH,2026-06-08 13:05:00-04:00,1.54,2132546,7.9,-14.29,-21.43,-12.34,-6.23,-3.9
MAMO,2026-04-29 15:40:00-04:00,0.99,46000,5.96,-2.03,-1.58,1.01,1.01,2.53
MASK,2026-05-05 12:15:00-04:00,2.255,1023916,6.7,7.1,5.1,-1.55,16.63,7.54
MASK,2026-05-18 09:50:00-04:00,1.85,80520,8.61,-3.51,-4.05,-0.81,-5.95,-8.65
MDIA,2026-06-08 15:15:00-04:00,1.35,63659,8.26,-39.27,-48.81,-45.93,-48.88,-48.15
MF,2026-07-22 10:40:00-04:00,5.0294,52877,9.01,11.74,7.37,3.39,8.96,6.18
MLGO,2026-05-20 12:30:00-04:00,5.2063,197166,5.53,10.35,20.43,12.36,1.22,14.09
MNDR,2026-05-04 09:40:00-04:00,7.89,3991723,5.72,23.96,11.78,12.55,15.6,-16.73
MNDR,2026-06-12 10:50:00-04:00,4.4592,96478,10.59,0.83,-0.24,-4.43,-7.82,-8.3
MRDN,2026-05-04 09:40:00-04:00,14.5,16612,6.12,-6.97,-16.41,-16.9,-17.45,-21.79
MRNO,2026-06-10 15:55:00-04:00,0.332,113783,20.6,-4.04,-3.92,-2.71,1.6,-0.78
MRNO,2026-07-16 14:10:00-04:00,0.2698,58365,5.68,-4.52,-8.41,-11.05,-8.45,-12.6
MSGY,2026-05-08 11:00:00-04:00,0.5501,218983,8.08,3.62,1.82,-3.29,-16.18,-20.03
MSGY,2026-06-01 11:00:00-04:00,0.615,411012,15.98,-21.22,-20.34,-19.4,-16.26,-21.9
MSGY,2026-06-08 14:10:00-04:00,0.54,231260,5.45,18.48,-2.31,31.5,7.07,7.59
MSGY,2026-06-16 10:05:00-04:00,0.6001,74713,9.9,-4.18,-8.28,-7.77,-4.98,-1.18
MTEK,2026-05-01 13:20:00-04:00,1.34,27251,5.58,-0.75,-5.22,-5.22,-14.18,-14.18
MTEN,2026-06-08 13:35:00-04:00,1.97,2360235,71.69,30.96,9.64,41.62,65.99,-23.35
MTEN,2026-07-22 11:00:00-04:00,1.37,571536,6.73,-4.4,-9.48,0.73,2.91,-12.77
MTVA,2026-05-19 15:30:00-04:00,2.01,1614959,6.2,-1.0,12.89,47.78,45.77,43.83
MTVA,2026-05-27 09:35:00-04:00,3.3012,765480,14.55,8.45,4.2,1.78,-3.52,-5.19
MTVA,2026-06-25 09:40:00-04:00,1.64,51333,9.58,-1.22,-2.61,-5.49,-4.88,-12.2
MTVA,2026-07-13 09:35:00-04:00,1.865,27481,9.77,4.56,4.82,10.09,2.41,2.95
MVO,2026-07-16 15:55:00-04:00,0.6425,31509,12.23,1.15,-0.39,1.17,1.8,5.82
MWG,2026-06-08 14:10:00-04:00,1.4536,21576,6.38,-3.34,-7.13,3.88,1.25,1.13
MYSE,2026-05-14 14:25:00-04:00,1.85,43456,18.22,-2.16,-2.16,-3.24,-4.32,-2.16
NBN,2026-06-10 09:35:00-04:00,127.38,28850,7.51,0.64,0.01,-0.18,-0.93,0.86
NCI,2026-05-04 09:40:00-04:00,9.92,148945,9.32,-6.05,-4.83,-13.23,-12.5,-12.1
NCI,2026-05-11 09:40:00-04:00,9.36,1332612,21.63,-0.81,-3.42,-4.7,-5.13,-7.69
NCI,2026-06-02 09:40:00-04:00,10.3701,45831,6.37,-0.1,-0.1,-0.19,-0.0,-2.99
NCI,2026-06-03 14:15:00-04:00,11.25,340175,19.18,-12.71,-11.82,-8.31,-8.09,-6.58
NCRA,2026-06-29 09:30:00-04:00,3.063,380617,11.9,-0.1,2.25,2.45,2.35,-5.58
NEXR,2026-04-30 09:30:00-04:00,2.252,44452,7.59,7.9,11.01,16.79,10.12,-1.87
NEXR,2026-05-05 14:40:00-04:00,2.2,24884,5.51,1.82,1.36,-3.86,-10.0,-18.18
NEXR,2026-05-28 13:05:00-04:00,1.2,27270,5.75,-0.83,-1.67,-1.67,120.0,13.33
NEXR,2026-06-17 13:50:00-04:00,0.74,37258,5.22,-1.77,-0.68,-3.91,-6.82,-6.43
NIVF,2026-05-28 09:50:00-04:00,3.255,348790,6.23,4.26,-0.44,-9.17,-11.51,-15.72
NIVF,2026-06-10 14:00:00-04:00,1.7853,211742,7.53,-8.87,-11.04,-9.26,-4.18,-5.19
NIVF,2026-06-16 09:30:00-04:00,2.6235,39219862,13023.02,-19.65,-26.82,8.06,-11.95,-9.82
NIVF,2026-06-16 11:30:00-04:00,2.835,5901125,5.75,-14.06,-17.57,-18.52,-20.18,-16.55
NIVF,2026-06-26 14:45:00-04:00,1.728,187956,9.31,-3.47,-5.28,-9.25,-9.86,-11.3
NPT,2026-06-08 10:50:00-04:00,2.1401,3154529,24.4,-13.35,81.27,40.18,283.39,20.32
NPT,2026-06-18 09:30:00-04:00,2.5881,401841,83.75,7.99,13.6,9.76,10.47,-3.39
NRT,2026-07-09 14:30:00-04:00,7.35,5600,5.45,-0.14,0.54,0.0,3.95,-0.41
NTCL,2026-07-06 14:00:00-04:00,5.01,22561,7.0,0.53,-5.29,-24.75,-19.76,-14.27
NVEC,2026-07-23 09:35:00-04:00,125.765,29645,6.0,-3.49,-3.23,3.28,3.93,-6.66
NXTC,2026-06-12 09:30:00-04:00,2.5,34357,18.24,-16.0,-18.4,-14.8,-16.8,-20.8
NXTS,2026-05-07 13:30:00-04:00,5.9673,31471,9.32,-11.85,-3.81,-18.01,-17.88,-13.03
OCC,2026-06-02 09:40:00-04:00,14.84,28058,5.54,2.22,2.93,3.77,0.98,-4.65
OCC,2026-06-29 09:30:00-04:00,19.75,48377,15.07,-2.89,-5.42,-1.57,4.3,6.18
OCG,2026-05-06 09:30:00-04:00,2.03,6353609,2980.34,0.99,2.46,2.46,5.91,8.87
ONCO,2026-07-06 09:40:00-04:00,1.13,334979,17.39,-3.08,-1.77,3.19,-1.77,-7.08
ONCO,2026-07-20 15:55:00-04:00,1.005,288136,32.37,-4.6,-9.45,-12.22,-13.83,-11.76
ONEG,2026-06-11 11:30:00-04:00,1.1644,53170,9.41,27.1,-6.39,-2.95,2.2,6.49
ONEG,2026-06-11 11:50:00-04:00,1.71,860318,18.82,-31.57,-37.43,-33.33,-27.49,-27.49
OPAD,2026-06-01 09:40:00-04:00,7.905,196797,32.46,1.2,0.92,1.2,2.82,2.93
OPTX,2026-06-29 09:30:00-04:00,11.07,174561,22.47,-7.36,-6.91,-4.83,-4.71,12.33
OPY,2026-06-09 10:05:00-04:00,101.86,23937,7.19,-1.21,-3.11,-1.45,-1.37,-1.68
ORKT,2026-06-08 14:50:00-04:00,1.265,26074,7.73,0.25,-1.19,-1.31,0.4,-1.19
OXBR,2026-07-09 14:55:00-04:00,1.57,15301,5.18,-4.46,-0.19,6.37,12.1,10.19
PAPL,2026-05-07 09:30:00-04:00,1.3092,110274,53.73,-6.84,-8.34,-6.66,-8.34,-15.22
PAPL,2026-06-08 09:40:00-04:00,1.08,51399,8.43,-3.06,-2.77,0.93,-0.93,-8.33
PAVS,2026-06-08 13:55:00-04:00,212.0,1956323,19.89,3.3,-29.01,6.13,700.47,-50.94
PAVS,2026-07-23 10:20:00-04:00,5.74,205807,37.74,3.48,8.19,-7.47,-0.87,-16.72
PBM,2026-05-07 13:35:00-04:00,6.21,7616,5.92,-2.12,-1.96,-8.0,-10.95,-10.63
PCLA,2026-05-22 15:00:00-04:00,6.825,1576796,9.91,0.95,-0.22,0.37,-2.86,71.28
PCLA,2026-06-26 11:40:00-04:00,9.3,43079,5.51,-30.54,-27.85,-26.88,-39.25,-33.01
PCSA,2026-05-14 09:40:00-04:00,3.07,27478,9.05,0.0,1.63,2.97,1.63,-2.28
PCSA,2026-07-02 09:40:00-04:00,2.28,23991,7.27,0.0,-5.48,-6.95,-5.7,-7.68
PFSA,2026-07-06 15:35:00-04:00,2.8725,509684,6.25,-2.35,1.48,0.26,-3.57,-2.87
PHGE,2026-05-20 12:10:00-04:00,0.6631,10258002,7.92,-18.94,-22.47,-9.09,-7.99,9.17
PHOE,2026-05-19 10:10:00-04:00,17.235,65536,16.15,21.85,-3.57,8.3,5.13,-11.46
PHOE,2026-07-07 12:55:00-04:00,29.255,19237,8.21,-6.92,-16.68,-29.65,-37.62,-32.59
PHOE,2026-07-14 12:05:00-04:00,36.29,61354,25.59,-31.52,-25.05,-29.59,-21.3,-32.54
PLBL,2026-07-14 15:50:00-04:00,7.78,52737,6.65,-1.67,-1.29,-3.6,0.0,0.51
PLBL,2026-07-16 15:55:00-04:00,7.8,13040,5.09,0.64,1.54,-1.03,-4.42,0.51
PLCE,2026-06-30 12:55:00-04:00,3.09,19414,11.05,-0.97,-1.29,-0.32,-2.91,-2.1
PLPC,2026-07-10 09:30:00-04:00,359.5,8539,5.79,-3.29,-0.45,-1.98,-1.49,-5.49
PLSM,2026-05-13 13:40:00-04:00,7.15,37941,9.39,-25.73,-37.2,-34.27,-39.86,-38.81
PMAX,2026-05-12 12:25:00-04:00,2.79,26771,6.45,-0.36,-3.23,-5.02,9.32,22.22
PMAX,2026-05-13 14:55:00-04:00,3.45,41036,8.77,-7.68,-1.16,-7.39,-5.8,-9.86
PMAX,2026-06-11 13:50:00-04:00,2.265,67276,5.3,-1.32,-2.64,-12.14,-5.96,-9.05
PN,2026-05-05 11:45:00-04:00,9.26,1198603,17.86,9.5,-7.88,-8.75,-29.51,-11.99
PN,2026-05-13 15:20:00-04:00,4.78,10689,5.29,1.46,-2.3,-3.8,-5.44,-3.97
PN,2026-06-08 11:45:00-04:00,5.1,617554,34.8,-12.55,-14.31,-17.55,-20.19,-24.12
PN,2026-06-08 15:05:00-04:00,7.98,963443,8.1,-45.24,-52.38,-56.14,-52.82,-51.5
PN,2026-07-22 14:35:00-04:00,6.939,228965,8.73,22.5,34.03,19.61,29.56,40.8
POAS,2026-06-15 09:30:00-04:00,0.2892,111726,22.45,-1.4,0.26,-0.41,3.72,22.87
POAS,2026-07-22 12:25:00-04:00,0.2491,69496,7.77,0.22,-1.65,2.31,-3.53,-1.57
PPSI,2026-05-27 14:20:00-04:00,5.71,38700,5.85,8.58,6.83,5.69,2.45,-3.77
PSIG,2026-05-19 09:35:00-04:00,7.5973,483947,32.29,0.21,1.22,0.3,0.43,3.46
PSIG,2026-06-18 10:50:00-04:00,11.9499,609831,9.03,-3.6,-1.84,0.25,-0.75,-2.09
PSTV,2026-05-11 13:55:00-04:00,6.2399,17993,8.41,-2.08,-3.52,-4.65,-6.09,-6.33
PXS,2026-05-26 09:40:00-04:00,4.86,18062,8.74,-1.23,-1.44,-2.06,-2.35,-3.7
QCLS,2026-06-22 13:05:00-04:00,4.0802,37598,7.08,0.36,0.24,-1.48,0.36,-4.66
QNCX,2026-04-30 12:40:00-04:00,25.1,54760,10.1,1.2,0.8,4.49,1.99,5.58
RBNE,2026-07-23 09:40:00-04:00,4.95,16185,7.75,4.34,3.23,10.69,19.61,-35.35
RFIL,2026-05-13 14:20:00-04:00,18.2905,43363,15.9,-2.11,-0.82,-1.31,0.05,-0.28
RGNT,2026-05-20 10:00:00-04:00,2.475,42389,15.2,-9.9,-5.05,-10.21,-9.7,-16.77
RGNT,2026-06-15 09:40:00-04:00,2.56,932363,25.81,86.07,56.25,53.28,456.14,140.23
RGNT,2026-06-15 10:05:00-04:00,5.485,9281585,8.58,-14.09,-24.34,26.53,95.65,12.12
RGNT,2026-07-01 12:55:00-04:00,4.25,49378,9.75,-1.18,5.65,3.06,2.35,-4.71
RMCF,2026-06-22 15:55:00-04:00,1.48,133381,6.58,2.02,2.36,3.38,5.41,8.78
RPGL,2026-05-18 10:50:00-04:00,16.508,1177839,5.64,-18.03,-21.52,-15.97,-25.61,-43.47
RTB,2026-06-22 09:50:00-04:00,14.5,107720,8.83,8.97,-13.52,-20.34,-12.07,-14.83
RYOJ,2026-05-22 12:05:00-04:00,5.9286,1415872,6.0,27.35,-14.98,-1.49,-36.59,-35.57
RYOJ,2026-05-26 15:25:00-04:00,3.83,55684,6.67,-0.26,3.87,-8.09,-1.7,37.86
RYOJ,2026-05-27 13:45:00-04:00,6.99,378194,13.06,-16.74,-24.75,-28.75,-31.64,-38.05
RYOJ,2026-06-04 13:35:00-04:00,3.89,287260,59.95,-17.31,-20.31,-11.83,-13.88,-14.52
RYOJ,2026-06-26 11:30:00-04:00,2.61,123190,13.96,21.84,6.52,-5.75,1.96,-5.75
RYOJ,2026-07-09 14:45:00-04:00,3.56,88877,6.6,6.18,5.06,1.97,4.78,17.84
SBFM,2026-06-11 10:45:00-04:00,2.54,28672,5.66,-6.3,-7.49,-7.48,-5.12,-12.2
SCLX,2026-04-30 12:10:00-04:00,6.0087,15115,5.83,2.95,2.8,9.95,6.32,8.91
SCNI,2026-06-05 15:55:00-04:00,0.4199,13177,5.34,0.02,-4.12,-5.91,-9.5,-5.91
SDEV,2026-06-04 09:35:00-04:00,1.22,6495,5.26,4.08,3.09,0.41,-2.87,-6.56
SDOT,2026-06-04 13:25:00-04:00,9.52,190178,7.23,35.5,34.72,19.73,44.43,23.11
SDOT,2026-06-05 13:20:00-04:00,15.0,239473,5.5,-28.47,-28.99,-15.33,23.58,32.67
SDOT,2026-06-22 15:45:00-04:00,9.0501,135448,5.75,21.1,20.44,10.61,7.9,11.55
SDST,2026-07-08 09:50:00-04:00,1.6864,146034,17.86,-3.05,-3.56,-2.8,-0.97,5.25
SER,2026-05-14 15:15:00-04:00,1.81,29925,14.67,-4.97,-4.97,-1.93,-7.18,-9.39
SHFS,2026-05-18 09:30:00-04:00,0.4691,63313,22.6,-5.82,-7.63,0.17,-9.46,-7.4
SHFS,2026-06-12 12:05:00-04:00,0.3049,9591843,8.94,38.24,13.94,-11.87,-18.3,-12.92
SHMD,2026-05-08 09:40:00-04:00,6.4,257731,10.71,-0.7,-3.59,-3.59,-5.0,-6.41
SHPH,2026-05-04 11:25:00-04:00,8.632,764971,20.28,-5.68,-5.72,-8.86,-2.93,-10.62
SILC,2026-06-26 12:20:00-04:00,40.9,21483,6.15,-0.01,0.86,0.42,-1.14,1.83
SKK,2026-05-04 12:25:00-04:00,8.98,227599,9.56,61.64,23.83,40.53,-35.92,-37.86
SKYQ,2026-05-15 10:25:00-04:00,3.54,1066127,9.55,-9.46,-7.02,-7.91,-11.19,-15.82
SKYQ,2026-06-10 12:40:00-04:00,2.04,1162648,7.24,-17.03,-20.59,-10.75,-15.93,-27.94
SKYQ,2026-06-24 10:30:00-04:00,2.415,4764060,9.64,-8.9,-8.87,-4.31,-5.8,8.11
SKYQ,2026-07-20 09:40:00-04:00,4.75,2213050,12.12,-0.21,-8.06,-8.21,-5.48,-14.74
SLXN,2026-05-29 12:15:00-04:00,4.8,27473,9.3,8.85,8.54,9.37,-1.18,3.75
SLXN,2026-06-15 15:15:00-04:00,2.86,39750,5.32,-3.32,-15.73,-14.69,-11.53,-7.69
SMJF,2026-06-05 10:05:00-04:00,5.17,28287,6.55,-0.77,0.0,-4.06,1.93,2.71
SMX,2026-05-06 11:55:00-04:00,3.7872,2116695,9.58,9.95,-0.31,-11.18,-8.16,-25.68
SMX,2026-05-26 15:05:00-04:00,20.7094,18614,7.52,-0.94,-3.03,-10.5,-11.38,-11.44
SNOA,2026-05-01 09:40:00-04:00,1.155,28952,5.6,-0.49,-0.43,2.16,2.16,5.63
SNYR,2026-06-17 11:55:00-04:00,0.2083,100334,8.07,1.63,2.11,0.67,-0.91,20.02
SOBR,2026-05-05 09:45:00-04:00,1.2758,4547863,48.73,12.87,-0.23,-10.25,-2.81,-19.27
SOBR,2026-05-07 09:40:00-04:00,1.555,2537209,7.9,8.05,2.32,9.53,8.36,5.47
SOBR,2026-05-18 09:35:00-04:00,1.4945,35739,6.45,-3.98,-4.98,-8.67,-9.67,-21.71
SOBR,2026-07-21 12:35:00-04:00,0.708,223559,11.24,-8.18,-9.59,-4.69,-11.0,-19.32
SPCB,2026-05-05 11:40:00-04:00,9.9285,22177,6.34,-0.79,-0.84,1.43,8.68,8.93
SPHL,2026-06-05 10:10:00-04:00,5.65,558464,29.76,28.32,20.73,-5.13,18.05,-19.82
SPHL,2026-06-24 09:35:00-04:00,2.815,8874,5.8,-1.95,0.18,0.0,-2.76,-2.76
SPPL,2026-06-02 09:35:00-04:00,3.625,107160,6.44,-0.14,-0.14,-0.41,-1.24,5.93
SRZN,2026-05-29 15:55:00-04:00,26.21,115759,14.66,-3.92,-6.68,-4.46,-5.28,-5.04
SST,2026-06-16 15:55:00-04:00,3.05,20367,7.15,0.5,-0.16,2.3,-1.3,0.33
SST,2026-06-26 09:40:00-04:00,2.46,10590,6.19,-5.28,-2.03,1.22,1.63,-1.63
STEM,2026-07-02 09:30:00-04:00,8.03,15026,8.6,1.56,0.87,-2.86,-5.35,-2.86
STFS,2026-05-06 12:50:00-04:00,5.58,144811,11.56,16.68,7.53,34.05,26.61,43.64
STFS,2026-05-08 10:50:00-04:00,15.2101,111616,10.12,-33.66,-33.86,-38.22,-35.25,-33.47
STFS,2026-05-26 10:30:00-04:00,8.5,75265,11.56,2.82,5.76,2.35,12.35,9.76
STI,2026-06-10 14:45:00-04:00,28.79,137023,5.84,-5.18,-4.08,-11.43,-9.48,-10.73
SUGP,2026-06-02 09:40:00-04:00,1.2392,136966,18.0,-9.62,-10.43,-12.49,-10.02,-7.19
SUGP,2026-06-03 14:05:00-04:00,1.43,231728,8.85,-5.94,-16.08,-17.13,-24.48,-51.05
SUGP,2026-06-05 12:50:00-04:00,1.22,3570671,22.61,-16.39,-13.11,-28.31,-26.6,-23.22
SUGP,2026-07-21 14:00:00-04:00,0.5455,268887,10.33,-7.66,-1.01,-3.17,-1.01,-6.51
SUNE,2026-05-08 09:30:00-04:00,1.68,14964,5.19,-2.68,-2.08,-0.6,0.0,-3.57
SUPX,2026-06-24 11:10:00-04:00,8.07,26643,6.72,-1.43,0.12,-0.87,-0.25,-4.34
SWMR,2026-05-11 09:35:00-04:00,29.83,57518,10.58,3.22,8.15,10.63,10.69,22.06
SWMR,2026-05-15 09:40:00-04:00,30.7,42106,6.4,-4.3,-6.06,-5.93,-1.92,6.03
SWMR,2026-05-18 13:20:00-04:00,33.0,46391,9.77,-1.55,-0.94,-0.73,-8.76,-7.09
TAOX,2026-04-30 11:35:00-04:00,5.03,20125,5.67,0.64,1.99,1.19,0.5,6.26
TAOX,2026-05-01 11:55:00-04:00,5.18,28064,7.73,2.22,0.48,2.7,9.07,4.83
TC,2026-07-08 09:35:00-04:00,2.44,345935,5.3,9.88,-2.02,0.82,-3.69,-2.87
TC,2026-07-24 13:50:00-04:00,2.4399,69613,11.32,22.91,3.28,-9.01,,
TC,2026-07-24 14:30:00-04:00,3.1101,1151324,5.19,-21.39,-31.51,,,
TDIC,2026-05-26 14:55:00-04:00,14.125,1807291,10.61,-9.42,-12.27,-19.89,-24.58,-20.64
TGE,2026-06-12 14:20:00-04:00,1.155,323176,11.36,-15.26,-24.03,-23.02,0.22,-0.33
TNMG,2026-05-22 12:50:00-04:00,0.74,24435,49.34,-1.36,-4.04,-4.05,-1.89,-0.53
TNMG,2026-07-23 13:20:00-04:00,0.45,743507,42.95,-18.62,-14.09,-15.62,-16.51,-19.22
TRNR,2026-06-16 15:20:00-04:00,5.3333,2655263,28.73,-11.73,-22.81,-23.22,-18.78,-18.03
TRNR,2026-07-14 10:10:00-04:00,3.7387,256599,31.77,-24.57,-25.24,-26.46,-24.05,-18.69
TRT,2026-06-04 09:35:00-04:00,13.29,87530,7.23,-2.18,-3.05,-2.45,-3.69,-21.44
TRT,2026-06-11 15:20:00-04:00,10.351,21492,5.12,0.38,0.56,8.97,8.15,5.5
TRT,2026-07-15 09:40:00-04:00,12.23,222641,7.32,-1.88,-4.66,-6.3,-9.16,-13.9
TRUG,2026-06-09 15:45:00-04:00,1.66,40631,9.24,0.0,-0.9,-6.56,-7.23,-6.63
TRUG,2026-06-17 09:45:00-04:00,1.4213,25689,5.39,-2.91,-4.31,0.61,-2.2,-3.61
TRUG,2026-07-17 09:40:00-04:00,1.67,4185560,25.35,-21.56,-26.94,-23.35,-25.15,-26.95
TVRD,2026-07-07 09:35:00-04:00,2.147,142417,17.86,22.26,34.73,52.77,39.67,126.83
TVRD,2026-07-13 15:25:00-04:00,3.355,153588,7.15,-1.34,-8.79,-5.37,-7.0,-7.75
TVRD,2026-07-14 15:45:00-04:00,3.1603,479123,20.43,-2.86,2.21,-0.17,-2.86,-7.13
UFG,2026-06-09 15:55:00-04:00,1.01,424720,44.33,-7.13,-11.5,-11.94,-19.79,-10.92
UK,2026-05-11 11:20:00-04:00,3.39,9756,5.35,-2.36,-2.74,-5.9,-12.83,-10.42
UK,2026-06-03 10:30:00-04:00,3.05,60951,9.33,-4.59,-4.59,-8.2,1.64,1.64
UONE,2026-05-01 12:25:00-04:00,6.3844,66967,6.68,12.62,9.64,14.84,7.84,30.0
