symbol,vol_bars,n_trades,win_rate,avg_ret
MEME/USDT,228,107,40.19,-1.9981
ETH/USDT,228,106,46.23,-0.354
INJ/USDT,228,106,53.77,0.7553
ETHFI/USDT,228,105,55.24,1.1283
WIF/USDT,228,104,34.62,-2.6331
JUP/USDT,228,102,38.24,-2.2675
ORDI/USDT,228,102,43.14,-1.2917
FLOKI/USDT,228,100,48.0,-0.681
GRT/USDT,228,99,43.43,-1.5157
BLUR/USDT,228,97,40.21,-1.0636
UNI/USDT,228,97,40.21,0.6736
SUI/USDT,228,97,54.64,2.3136
NEAR/USDT,228,97,48.45,-0.5412
FET/USDT,228,96,34.38,-2.1939
GALA/USDT,228,96,47.92,0.6343
TIA/USDT,228,96,45.83,0.2312
BTC/USDT,228,96,55.21,0.0898
LINK/USDT,228,96,44.79,1.5525
MAGIC/USDT,228,96,47.92,0.972
NOT/USDT,228,96,48.96,0.1098
TRX/USDT,228,96,51.04,-0.4302
CFG/USDT,228,95,34.74,-2.0611
MINA/USDT,228,95,45.26,-0.7678
SOL/USDT,228,95,49.47,-0.8672
LTC/USDT,228,95,52.63,-0.2364
CELO/USDT,228,94,44.68,-0.114
WOO/USDT,228,94,46.81,-0.7929
ZK/USDT,226,94,41.49,-0.4672
BONK/USDT,228,94,43.62,0.3153
LQTY/USDT,228,94,61.7,2.3391
ZIL/USDT,228,94,48.94,-0.5983
WLD/USDT,228,94,47.87,1.2903
DYDX/USDT,228,93,47.31,-0.383
FLR/USDT,228,93,39.78,-0.8887
BNB/USDT,228,93,58.06,0.7012
FIL/USDT,228,93,36.56,-2.014
IOTA/USDT,228,92,41.3,-0.6117
AAVE/USDT,228,92,40.22,-1.8323
NEO/USDT,228,92,35.87,-1.4597
STX/USDT,228,92,39.13,-1.924
TNSR/USDT,228,92,55.43,0.1145
APT/USDT,228,92,51.09,1.7064
STRK/USDT,228,91,38.46,-1.8297
DOGE/USDT,228,91,51.65,0.7911
W/USDT,228,91,40.66,-0.2114
CORE/USDT,228,91,46.15,-0.7683
AXS/USDT,228,91,48.35,0.0587
LDO/USDT,228,91,42.86,-1.3545
SNX/USDT,228,90,50.0,1.5786
ILV/USDT,228,90,55.56,1.1957
METIS/USDT,228,90,55.56,1.9693
AGLD/USDT,228,90,52.22,-0.6454
ETC/USDT,228,90,48.89,0.1188
AR/USDT,228,90,51.11,-0.2633
JOE/USDT,228,90,44.44,0.0589
ONE/USDT,228,89,47.19,-0.2033
DGB/USDT,228,89,53.93,1.1838
AEVO/USDT,228,89,46.07,0.0081
SSV/USDT,228,89,48.31,0.3315
SATS/USDT,228,89,43.82,-1.4111
CRV/USDT,228,89,47.19,1.3388
ENJ/USDT,228,88,42.05,-0.6402
THETA/USDT,228,88,45.45,0.0505
ICX/USDT,228,88,57.95,0.6483
ARB/USDT,228,88,52.27,0.4547
AVAX/USDT,228,88,52.27,1.2623
CHZ/USDT,228,87,37.93,-1.5847
QTUM/USDT,228,87,41.38,-1.498
RON/USDT,228,87,51.72,0.0604
OP/USDT,228,87,43.68,-1.6145
CELR/USDT,228,87,52.87,0.3977
WIN/USDT,228,86,45.35,-0.8798
SHIB/USDT,228,86,48.84,0.2812
CRO/USDT,228,86,37.21,1.1097
SUSHI/USDT,228,85,54.12,1.7342
LSK/USDT,228,85,41.18,0.1139
YGG/USDT,228,85,56.47,1.0822
ASTR/USDT,228,85,52.94,0.9537
ZRO/USDT,224,85,49.41,0.8225
JTO/USDT,228,85,55.29,1.3477
IMX/USDT,228,85,43.53,-0.6203
ATOM/USDT,228,85,40.0,-1.6002
GMT/USDT,228,85,41.18,-1.3098
PEPE/USDT,228,84,50.0,0.5627
BAND/USDT,228,84,61.9,1.0189
YFI/USDT,228,84,46.43,-0.3485
ICP/USDT,228,83,43.37,-0.1589
TON/USDT,228,83,43.37,-0.399
ADA/USDT,228,83,46.99,0.5795
SKL/USDT,228,83,51.81,2.3567
RENDER/USDT,199,82,39.02,-1.294
ENS/USDT,228,82,54.88,4.0392
COMP/USDT,228,82,60.98,2.1148
ID/USDT,228,81,48.15,-0.7601
APE/USDT,228,81,48.15,-0.5425
LRC/USDT,228,81,49.38,1.334
XRP/USDT,228,80,48.75,1.2445
NMR/USDT,228,80,56.25,1.2543
FLOW/USDT,228,80,47.5,-0.0982
ONDO/USDT,185,80,46.25,-0.2883
RVN/USDT,228,79,34.18,-1.191
XLM/USDT,228,79,50.63,2.3945
ZETA/USDT,228,79,51.9,1.293
PHA/USDT,228,79,44.3,0.915
DOT/USDT,228,78,39.74,-1.3458
ONT/USDT,228,78,43.59,-1.1119
SAND/USDT,228,78,44.87,-0.0229
BCH/USDT,228,78,44.87,0.2164
ZRX/USDT,228,77,46.75,0.2126
HBAR/USDT,228,76,42.11,-0.8062
UMA/USDT,228,76,52.63,-0.155
ARKM/USDT,168,75,41.33,-1.8324
ACE/USDT,228,75,42.67,-1.0088
PYTH/USDT,228,75,40.0,-2.1272
MANA/USDT,228,75,42.67,-1.3054
EGLD/USDT,228,75,41.33,-0.8888
TRB/USDT,228,74,35.14,-2.5468
ALGO/USDT,228,73,46.58,-0.7378
ENA/USDT,199,73,32.88,-1.3944
1INCH/USDT,228,72,48.61,1.0892
BOME/USDT,168,70,45.71,-0.9047
BAT/USDT,228,70,58.57,1.0052
VIRTUAL/USDT,158,70,35.71,-1.0543
KNC/USDT,228,69,56.52,1.1909
PIXEL/USDT,168,66,40.91,-1.9989
ZEC/USDT,131,64,46.88,1.7935
HYPE/USDT,151,64,45.31,-0.0182
STORJ/USDT,228,63,58.73,1.3201
DOGS/USDT,157,63,36.51,-2.623
KSM/USDT,228,61,54.1,1.289
SEI/USDT,141,56,35.71,-1.636
PENDLE/USDT,125,55,41.82,-1.5009
DASH/USDT,129,53,37.74,0.9768
ZEN/USDT,137,45,40.0,-1.6786
NEIRO/USDT,100,44,27.27,-7.4622
EIGEN/USDT,121,39,35.9,-3.9957
PNUT/USDT,80,30,33.33,-3.6183
SCR/USDT,87,23,52.17,1.057
GOAT/USDT,49,23,43.48,-3.4672
PENGU/USDT,44,20,35.0,-7.6955
ACT/USDT,77,18,38.89,-1.4593
ME/USDT,51,12,33.33,-4.7727
