ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,bars_to_exit,peak_capture,vol_div,rsi_div,bb_squeeze,exit_reason
1INCH/USDT,2025-06-22 11:20:00+00:00,2025-06-22 12:50:00+00:00,0.1671,0.1665,0.1682,-0.0006,-0.3591,18,-54.55,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-06-22 11:35:00+00:00,2025-06-22 12:50:00+00:00,0.1665,0.1665,0.1677,0.0,0.0,15,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-06-22 17:15:00+00:00,2025-06-22 18:45:00+00:00,0.1609,0.1619,0.1629,0.001,0.6215,18,50.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-06-25 23:25:00+00:00,2025-06-26 00:30:00+00:00,0.1794,0.1799,0.1803,0.0005,0.2787,13,55.56,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-06-25 23:30:00+00:00,2025-06-26 00:30:00+00:00,0.1794,0.1799,0.1803,0.0005,0.2787,12,55.56,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-06-29 05:20:00+00:00,2025-06-29 07:00:00+00:00,0.1769,0.1777,0.178,0.0008,0.4522,20,72.73,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-06-29 16:50:00+00:00,2025-06-29 17:40:00+00:00,0.1771,0.1776,0.1779,0.0005,0.2823,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-07-13 05:20:00+00:00,2025-07-13 12:20:00+00:00,0.3219,0.3303,0.3692,0.0084,2.6095,84,17.76,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-07-13 05:25:00+00:00,2025-07-13 12:20:00+00:00,0.323,0.3303,0.3692,0.0073,2.2601,83,15.8,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-07-16 17:25:00+00:00,2025-07-16 18:35:00+00:00,0.3355,0.3368,0.34,0.0013,0.3875,14,28.89,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-07-20 19:35:00+00:00,2025-07-20 20:25:00+00:00,0.3239,0.3218,0.3242,-0.0021,-0.6483,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-07-23 11:30:00+00:00,2025-07-23 12:40:00+00:00,0.3048,0.3011,0.306,-0.0037,-1.2139,14,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-03 04:30:00+00:00,2025-08-03 06:05:00+00:00,0.2463,0.2451,0.2475,-0.0012,-0.4872,19,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-07 04:10:00+00:00,2025-08-07 05:00:00+00:00,0.265,0.2637,0.266,-0.0013,-0.4906,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-09 15:30:00+00:00,2025-08-09 16:25:00+00:00,0.2923,0.2932,0.2939,0.0009,0.3079,11,56.25,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-14 12:25:00+00:00,2025-08-14 14:15:00+00:00,0.2693,0.2572,0.2697,-0.0121,-4.4931,22,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-17 21:15:00+00:00,2025-08-17 22:55:00+00:00,0.2573,0.2607,0.261,0.0034,1.3214,20,91.89,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-17 21:20:00+00:00,2025-08-17 22:55:00+00:00,0.2572,0.2607,0.261,0.0035,1.3608,19,92.11,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-17 21:25:00+00:00,2025-08-17 22:55:00+00:00,0.2573,0.2607,0.261,0.0034,1.3214,18,91.89,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-18 08:00:00+00:00,2025-08-18 08:50:00+00:00,0.2463,0.2461,0.2472,-0.0002,-0.0812,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-21 05:30:00+00:00,2025-08-21 06:20:00+00:00,0.2574,0.2552,0.2579,-0.0022,-0.8547,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-23 18:50:00+00:00,2025-08-23 20:00:00+00:00,0.2669,0.268,0.2689,0.0011,0.4121,14,55.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-08-26 09:55:00+00:00,2025-08-26 11:00:00+00:00,0.2415,0.2433,0.2446,0.0018,0.7453,13,58.06,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-01 04:05:00+00:00,2025-09-01 04:55:00+00:00,0.2396,0.2383,0.2404,-0.0013,-0.5426,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-01 04:10:00+00:00,2025-09-01 05:15:00+00:00,0.24,0.2374,0.2404,-0.0026,-1.0833,13,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-01 04:15:00+00:00,2025-09-01 05:15:00+00:00,0.2394,0.2374,0.24,-0.002,-0.8354,12,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-01 23:00:00+00:00,2025-09-02 01:10:00+00:00,0.2347,0.2369,0.238,0.0022,0.9374,26,66.67,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-04 07:10:00+00:00,2025-09-04 08:50:00+00:00,0.2415,0.2414,0.2431,-0.0001,-0.0414,20,-6.25,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-05 16:35:00+00:00,2025-09-05 17:25:00+00:00,0.2425,0.2424,0.2431,-0.0001,-0.0412,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-15 04:50:00+00:00,2025-09-15 06:20:00+00:00,0.2654,0.2646,0.2667,-0.0008,-0.3014,18,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-17 15:55:00+00:00,2025-09-17 17:55:00+00:00,0.2543,0.2557,0.2596,0.0014,0.5505,24,26.42,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-22 16:10:00+00:00,2025-09-22 17:00:00+00:00,0.2327,0.2305,0.2327,-0.0022,-0.9454,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-09-28 03:00:00+00:00,2025-09-28 04:10:00+00:00,0.2327,0.2321,0.2327,-0.0006,-0.2578,14,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-10-03 14:30:00+00:00,2025-10-03 15:20:00+00:00,0.2641,0.2668,0.267,0.0027,1.0223,10,93.1,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-10-05 21:25:00+00:00,2025-10-05 22:15:00+00:00,0.254,0.2537,0.2548,-0.0003,-0.1181,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-10-13 02:35:00+00:00,2025-10-13 03:30:00+00:00,0.1964,0.1961,0.1981,-0.0003,-0.1527,11,-17.65,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-10-27 10:50:00+00:00,2025-10-27 12:15:00+00:00,0.183,0.1823,0.1831,-0.0007,-0.3825,17,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-10-29 05:20:00+00:00,2025-10-29 07:40:00+00:00,0.173,0.1724,0.1734,-0.0006,-0.3468,28,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-10-29 05:25:00+00:00,2025-10-29 07:40:00+00:00,0.173,0.1724,0.1734,-0.0006,-0.3468,27,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-11-01 23:40:00+00:00,2025-11-02 00:30:00+00:00,0.1705,0.1695,0.1711,-0.001,-0.5865,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-11-06 05:35:00+00:00,2025-11-06 07:05:00+00:00,0.1795,0.1811,0.1825,0.0016,0.8914,18,53.33,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-11-07 20:15:00+00:00,2025-11-07 21:40:00+00:00,0.2116,0.2159,0.2174,0.0043,2.0321,17,74.14,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-11-16 20:25:00+00:00,2025-11-16 21:40:00+00:00,0.1838,0.1811,0.1843,-0.0027,-1.469,15,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-11-19 02:30:00+00:00,2025-11-19 03:20:00+00:00,0.1881,0.1866,0.1883,-0.0015,-0.7974,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-11-19 20:00:00+00:00,2025-11-19 21:10:00+00:00,0.1798,0.1827,0.1838,0.0029,1.6129,14,72.5,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-11-20 02:35:00+00:00,2025-11-20 04:15:00+00:00,0.1827,0.1811,0.1831,-0.0016,-0.8758,20,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-12-03 05:55:00+00:00,2025-12-03 06:45:00+00:00,0.2042,0.2033,0.205,-0.0009,-0.4407,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-12-03 12:55:00+00:00,2025-12-03 13:50:00+00:00,0.1977,0.1969,0.198,-0.0008,-0.4047,11,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-12-04 07:15:00+00:00,2025-12-04 08:05:00+00:00,0.1919,0.1916,0.1927,-0.0003,-0.1563,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-12-18 16:30:00+00:00,2025-12-18 18:20:00+00:00,0.155,0.1509,0.1554,-0.0041,-2.6452,22,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-12-21 15:20:00+00:00,2025-12-21 16:35:00+00:00,0.152,0.1524,0.1524,0.0004,0.2632,15,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-12-21 15:55:00+00:00,2025-12-21 16:45:00+00:00,0.1522,0.1524,0.1524,0.0002,0.1314,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-12-23 08:35:00+00:00,2025-12-23 10:05:00+00:00,0.1523,0.152,0.1523,-0.0003,-0.197,18,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2025-12-30 22:15:00+00:00,2025-12-30 23:05:00+00:00,0.1434,0.1433,0.1434,-0.0001,-0.0697,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-01-11 08:45:00+00:00,2026-01-11 10:05:00+00:00,0.156,0.1562,0.1568,0.0002,0.1282,16,25.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-01-14 12:40:00+00:00,2026-01-14 13:45:00+00:00,0.1625,0.1613,0.1627,-0.0012,-0.7385,13,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-01-15 20:10:00+00:00,2026-01-15 21:10:00+00:00,0.1536,0.152,0.1536,-0.0016,-1.0417,12,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-01-15 20:30:00+00:00,2026-01-15 23:10:00+00:00,0.1529,0.1536,0.1541,0.0007,0.4578,32,58.33,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-01-21 18:55:00+00:00,2026-01-21 20:20:00+00:00,0.1429,0.144,0.1457,0.0011,0.7698,17,39.29,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-01-24 18:00:00+00:00,2026-01-24 18:50:00+00:00,0.1428,0.1425,0.1428,-0.0003,-0.2101,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-01-24 18:05:00+00:00,2026-01-24 18:55:00+00:00,0.1427,0.1425,0.1427,-0.0002,-0.1402,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-01-25 05:40:00+00:00,2026-01-25 06:55:00+00:00,0.142,0.1421,0.1427,0.0001,0.0704,15,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-02 17:20:00+00:00,2026-02-02 19:05:00+00:00,0.1155,0.114,0.1155,-0.0015,-1.2987,21,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-02 17:25:00+00:00,2026-02-02 19:05:00+00:00,0.1152,0.114,0.1154,-0.0012,-1.0417,20,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-11 16:25:00+00:00,2026-02-11 17:20:00+00:00,0.0932,0.0932,0.0936,0.0,0.0,11,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-15 06:40:00+00:00,2026-02-15 07:30:00+00:00,0.0996,0.0996,0.1,0.0,0.0,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-16 17:55:00+00:00,2026-02-16 18:45:00+00:00,0.0938,0.0945,0.0946,0.0007,0.7463,10,87.5,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-16 23:50:00+00:00,2026-02-17 00:40:00+00:00,0.0956,0.0955,0.0956,-0.0001,-0.1046,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-17 07:25:00+00:00,2026-02-17 08:20:00+00:00,0.0951,0.0956,0.096,0.0005,0.5258,11,55.56,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-18 12:50:00+00:00,2026-02-18 13:40:00+00:00,0.0948,0.094,0.0948,-0.0008,-0.8439,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-21 08:10:00+00:00,2026-02-21 10:10:00+00:00,0.0942,0.0947,0.0954,0.0005,0.5308,24,41.67,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-21 08:25:00+00:00,2026-02-21 10:10:00+00:00,0.0942,0.0947,0.0954,0.0005,0.5308,21,41.67,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-22 04:45:00+00:00,2026-02-22 05:35:00+00:00,0.0924,0.0923,0.0926,-0.0001,-0.1082,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-23 20:55:00+00:00,2026-02-23 22:10:00+00:00,0.0883,0.0888,0.0889,0.0005,0.5663,15,83.33,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-02-28 10:25:00+00:00,2026-02-28 11:15:00+00:00,0.0866,0.0871,0.0873,0.0005,0.5774,10,71.43,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-01 11:20:00+00:00,2026-03-01 12:50:00+00:00,0.0934,0.0927,0.0935,-0.0007,-0.7495,18,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-01 11:25:00+00:00,2026-03-01 12:50:00+00:00,0.0934,0.0927,0.0935,-0.0007,-0.7495,17,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-05 18:50:00+00:00,2026-03-05 20:45:00+00:00,0.09688,0.09829,0.0986,0.00141,1.4554,23,81.98,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-07 16:55:00+00:00,2026-03-07 18:00:00+00:00,0.09221,0.09227,0.09271,6e-05,0.0651,13,12.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-08 14:30:00+00:00,2026-03-08 15:25:00+00:00,0.09062,0.09009,0.09063,-0.00053,-0.5849,11,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-10 20:30:00+00:00,2026-03-10 21:20:00+00:00,0.09404,0.09391,0.09433,-0.00013,-0.1382,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-13 20:45:00+00:00,2026-03-13 21:35:00+00:00,0.09792,0.0975,0.09812,-0.00042,-0.4289,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-14 09:00:00+00:00,2026-03-14 09:50:00+00:00,0.09658,0.09638,0.09673,-0.0002,-0.2071,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-16 06:55:00+00:00,2026-03-16 07:55:00+00:00,0.10208,0.10225,0.10293,0.00017,0.1665,12,20.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-18 13:50:00+00:00,2026-03-18 14:40:00+00:00,0.09922,0.0979,0.09922,-0.00132,-1.3304,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-22 15:20:00+00:00,2026-03-22 18:20:00+00:00,0.09171,0.09199,0.09236,0.00028,0.3053,36,43.08,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-03-24 16:05:00+00:00,2026-03-24 16:55:00+00:00,0.09406,0.0937,0.09417,-0.00036,-0.3827,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-05 02:55:00+00:00,2026-04-05 04:45:00+00:00,0.08811,0.08837,0.08852,0.00026,0.2951,22,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-05 03:00:00+00:00,2026-04-05 04:45:00+00:00,0.08798,0.08837,0.08852,0.00039,0.4433,21,72.22,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-06 18:35:00+00:00,2026-04-06 19:25:00+00:00,0.09081,0.09068,0.09091,-0.00013,-0.1432,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-07 16:25:00+00:00,2026-04-07 17:15:00+00:00,0.08768,0.08786,0.08812,0.00018,0.2053,10,40.91,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-07 16:30:00+00:00,2026-04-07 17:20:00+00:00,0.08768,0.08826,0.08832,0.00058,0.6615,10,90.63,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-08 08:15:00+00:00,2026-04-08 09:05:00+00:00,0.09391,0.09401,0.09416,0.0001,0.1065,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-08 11:20:00+00:00,2026-04-08 12:10:00+00:00,0.09359,0.09338,0.09379,-0.00021,-0.2244,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-12 16:55:00+00:00,2026-04-12 18:05:00+00:00,0.09118,0.09178,0.09203,0.0006,0.658,14,70.59,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-04-12 17:00:00+00:00,2026-04-12 18:05:00+00:00,0.09123,0.09178,0.09203,0.00055,0.6029,13,68.75,True,True,True,bearish_vol_divergence
